"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-317U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [992, -267]
2023-09-24_04:54:00.000098627, [972, -126]
2023-09-24_04:54:00.000197255, [169, -136]
2023-09-24_04:54:00.000295883, [-503, -316]
2023-09-24_04:54:00.000394511, [-718, -186]
2023-09-24_04:54:00.000493139, [-577, -55]
2023-09-24_04:54:00.000591767, [-210, -59]
2023-09-24_04:54:00.000690395, [103, -120]
2023-09-24_04:54:00.000789023, [717, -168]
2023-09-24_04:54:00.000887651, [1158, -118]
2023-09-24_04:54:00.000986279, [1359, -131]
2023-09-24_04:54:00.001084907, [1643, -234]
2023-09-24_04:54:00.001183535, [1438, -222]
2023-09-24_04:54:00.001282163, [580, -151]
2023-09-24_04:54:00.001380791, [-705, -100]
2023-09-24_04:54:00.001479419, [-1707, -88]
2023-09-24_04:54:00.001578047, [-1791, -61]
2023-09-24_04:54:00.001676675, [-998, -111]
2023-09-24_04:54:00.001775303, [-22, -110]
2023-09-24_04:54:00.001873931, [205, -9]
2023-09-24_04:54:00.001972559, [-295, 21]
2023-09-24_04:54:00.002071187, [-174, -66]
2023-09-24_04:54:00.002169815, [852, -170]
2023-09-24_04:54:00.002268443, [1329, -339]
2023-09-24_04:54:00.002367071, [722, -344]
2023-09-24_04:54:00.002465699, [-174, -128]
2023-09-24_04:54:00.002564326, [-649, -152]
2023-09-24_04:54:00.002662954, [-274, -310]
2023-09-24_04:54:00.002761582, [342, -445]
2023-09-24_04:54:00.002860210, [390, -452]
2023-09-24_04:54:00.002958838, [-464, -132]
2023-09-24_04:54:00.003057466, [-1313, 10]
2023-09-24_04:54:00.003156094, [-956, -92]
2023-09-24_04:54:00.003254722, [194, -15]
2023-09-24_04:54:00.003353350, [759, -80]
2023-09-24_04:54:00.003451978, [540, -72]
2023-09-24_04:54:00.003550606, [278, -37]
2023-09-24_04:54:00.003649234, [448, -83]
2023-09-24_04:54:00.003747862, [809, -115]
2023-09-24_04:54:00.003846490, [684, -204]
2023-09-24_04:54:00.003945118, [42, -361]
2023-09-24_04:54:00.004043746, [-938, -246]
2023-09-24_04:54:00.004142374, [-1651, -15]
2023-09-24_04:54:00.004241002, [-1354, -41]
2023-09-24_04:54:00.004339630, [-331, -147]
2023-09-24_04:54:00.004438258, [539, -259]
2023-09-24_04:54:00.004536886, [451, -223]
2023-09-24_04:54:00.004635514, [307, -229]
2023-09-24_04:54:00.004734142, [725, -171]
2023-09-24_04:54:00.004832770, [927, -183]
2023-09-24_04:54:00.004931398, [273, -215]
2023-09-24_04:54:00.005030025, [-929, -99]
2023-09-24_04:54:00.005128653, [-1125, -24]
2023-09-24_04:54:00.005227281, [-555, 120]
2023-09-24_04:54:00.005325909, [345, 176]
2023-09-24_04:54:00.005424537, [718, 87]
2023-09-24_04:54:00.005523165, [104, 96]
2023-09-24_04:54:00.005621793, [-176, 5]
2023-09-24_04:54:00.005720421, [-463, -22]
2023-09-24_04:54:00.005819049, [-562, 20]
2023-09-24_04:54:00.005917677, [-378, -56]
2023-09-24_04:54:00.006016305, [-213, -83]
2023-09-24_04:54:00.006114933, [158, -11]
2023-09-24_04:54:00.006213561, [306, -35]
