"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-320M2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [801, 349]
2023-09-24_04:54:00.000098627, [849, 258]
2023-09-24_04:54:00.000197255, [657, 233]
2023-09-24_04:54:00.000295883, [404, 193]
2023-09-24_04:54:00.000394511, [481, 95]
2023-09-24_04:54:00.000493139, [509, -78]
2023-09-24_04:54:00.000591767, [484, -67]
2023-09-24_04:54:00.000690395, [541, 73]
2023-09-24_04:54:00.000789023, [526, 212]
2023-09-24_04:54:00.000887651, [542, 307]
2023-09-24_04:54:00.000986279, [647, 230]
2023-09-24_04:54:00.001084907, [824, 254]
2023-09-24_04:54:00.001183535, [760, 252]
2023-09-24_04:54:00.001282163, [357, 200]
2023-09-24_04:54:00.001380791, [-116, 275]
2023-09-24_04:54:00.001479419, [-315, 376]
2023-09-24_04:54:00.001578047, [-295, 417]
2023-09-24_04:54:00.001676675, [-177, 411]
2023-09-24_04:54:00.001775303, [99, 240]
2023-09-24_04:54:00.001873931, [349, 175]
2023-09-24_04:54:00.001972559, [328, 239]
2023-09-24_04:54:00.002071187, [289, 107]
2023-09-24_04:54:00.002169815, [408, 82]
2023-09-24_04:54:00.002268443, [511, 340]
2023-09-24_04:54:00.002367071, [361, 457]
2023-09-24_04:54:00.002465699, [186, 340]
2023-09-24_04:54:00.002564326, [33, 247]
2023-09-24_04:54:00.002662954, [92, 259]
2023-09-24_04:54:00.002761582, [285, 313]
2023-09-24_04:54:00.002860210, [188, 243]
2023-09-24_04:54:00.002958838, [-113, 152]
2023-09-24_04:54:00.003057466, [-373, 123]
2023-09-24_04:54:00.003156094, [-324, 47]
2023-09-24_04:54:00.003254722, [-13, 103]
2023-09-24_04:54:00.003353350, [23, 152]
2023-09-24_04:54:00.003451978, [-122, 155]
2023-09-24_04:54:00.003550606, [-172, 129]
2023-09-24_04:54:00.003649234, [-138, 61]
2023-09-24_04:54:00.003747862, [85, 166]
2023-09-24_04:54:00.003846490, [195, 252]
2023-09-24_04:54:00.003945118, [-83, 335]
2023-09-24_04:54:00.004043746, [-400, 278]
2023-09-24_04:54:00.004142374, [-468, 85]
2023-09-24_04:54:00.004241002, [-417, -132]
2023-09-24_04:54:00.004339630, [-278, -175]
2023-09-24_04:54:00.004438258, [-75, -146]
2023-09-24_04:54:00.004536886, [17, -79]
2023-09-24_04:54:00.004635514, [-109, -71]
2023-09-24_04:54:00.004734142, [-221, -2]
2023-09-24_04:54:00.004832770, [-169, 150]
2023-09-24_04:54:00.004931398, [-320, 174]
2023-09-24_04:54:00.005030025, [-596, 76]
2023-09-24_04:54:00.005128653, [-550, -19]
2023-09-24_04:54:00.005227281, [-433, 0]
2023-09-24_04:54:00.005325909, [-160, -59]
2023-09-24_04:54:00.005424537, [-145, -175]
2023-09-24_04:54:00.005523165, [-438, -259]
2023-09-24_04:54:00.005621793, [-500, -325]
2023-09-24_04:54:00.005720421, [-579, -345]
2023-09-24_04:54:00.005819049, [-558, -276]
2023-09-24_04:54:00.005917677, [-510, -248]
2023-09-24_04:54:00.006016305, [-444, -185]
2023-09-24_04:54:00.006114933, [-370, -39]
2023-09-24_04:54:00.006213561, [-367, -16]
2023-09-24_04:54:00.006312189, [-350, -119]
2023-09-24_04:54:00.006410817, [-364, -198]
2023-09-24_04:54:00.006509445, [-378, -168]
2023-09-24_04:54:00.006608073, [-530, -157]
2023-09-24_04:54:00.006706701, [-592, -279]
2023-09-24_04:54:00.006805329, [-464, -376]
2023-09-24_04:54:00.006903957, [-273, -376]
2023-09-24_04:54:00.007002585, [-236, -368]
2023-09-24_04:54:00.007101213, [-364, -264]
2023-09-24_04:54:00.007199841, [-216, -224]
2023-09-24_04:54:00.007298469, [45, -97]
2023-09-24_04:54:00.007397097, [-12, 6]
2023-09-24_04:54:00.007495724, [-178, 25]
2023-09-24_04:54:00.007594352, [-84, -34]
2023-09-24_04:54:00.007692980, [-22, -250]
2023-09-24_04:54:00.007791608, [-88, -292]
2023-09-24_04:54:00.007890236, [-315, -150]
2023-09-24_04:54:00.007988864, [-456, -120]
