"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-316M1/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [245, 68238]
2023-09-24_04:54:00.000098627, [478, 68263]
2023-09-24_04:54:00.000197255, [411, 68399]
2023-09-24_04:54:00.000295883, [123, 68537]
2023-09-24_04:54:00.000394511, [66, 68502]
2023-09-24_04:54:00.000493139, [102, 68426]
2023-09-24_04:54:00.000591767, [193, 68491]
2023-09-24_04:54:00.000690395, [275, 68403]
2023-09-24_04:54:00.000789023, [391, 68089]
2023-09-24_04:54:00.000887651, [330, 68000]
2023-09-24_04:54:00.000986279, [257, 68138]
2023-09-24_04:54:00.001084907, [564, 68313]
2023-09-24_04:54:00.001183535, [764, 68404]
2023-09-24_04:54:00.001282163, [362, 68317]
2023-09-24_04:54:00.001380791, [-237, 68348]
2023-09-24_04:54:00.001479419, [-427, 68385]
2023-09-24_04:54:00.001578047, [-224, 68346]
2023-09-24_04:54:00.001676675, [-66, 68421]
2023-09-24_04:54:00.001775303, [76, 68448]
2023-09-24_04:54:00.001873931, [143, 68374]
2023-09-24_04:54:00.001972559, [11, 68417]
2023-09-24_04:54:00.002071187, [8, 68241]
2023-09-24_04:54:00.002169815, [164, 68133]
2023-09-24_04:54:00.002268443, [125, 68198]
2023-09-24_04:54:00.002367071, [-83, 68125]
2023-09-24_04:54:00.002465699, [-116, 68051]
2023-09-24_04:54:00.002564326, [-110, 68025]
2023-09-24_04:54:00.002662954, [-199, 68101]
2023-09-24_04:54:00.002761582, [-29, 68229]
2023-09-24_04:54:00.002860210, [6, 68314]
2023-09-24_04:54:00.002958838, [-296, 68340]
2023-09-24_04:54:00.003057466, [-412, 68498]
2023-09-24_04:54:00.003156094, [-185, 68510]
2023-09-24_04:54:00.003254722, [110, 68405]
2023-09-24_04:54:00.003353350, [143, 68378]
2023-09-24_04:54:00.003451978, [45, 68352]
2023-09-24_04:54:00.003550606, [102, 68327]
2023-09-24_04:54:00.003649234, [196, 68228]
2023-09-24_04:54:00.003747862, [173, 68154]
2023-09-24_04:54:00.003846490, [211, 68089]
2023-09-24_04:54:00.003945118, [177, 68215]
2023-09-24_04:54:00.004043746, [-16, 68429]
2023-09-24_04:54:00.004142374, [-179, 68500]
2023-09-24_04:54:00.004241002, [-151, 68531]
2023-09-24_04:54:00.004339630, [192, 68472]
2023-09-24_04:54:00.004438258, [482, 68436]
2023-09-24_04:54:00.004536886, [402, 68437]
2023-09-24_04:54:00.004635514, [322, 68432]
2023-09-24_04:54:00.004734142, [413, 68474]
2023-09-24_04:54:00.004832770, [420, 68383]
2023-09-24_04:54:00.004931398, [197, 68350]
2023-09-24_04:54:00.005030025, [-90, 68362]
2023-09-24_04:54:00.005128653, [-200, 68439]
2023-09-24_04:54:00.005227281, [-87, 68544]
2023-09-24_04:54:00.005325909, [271, 68623]
2023-09-24_04:54:00.005424537, [388, 68787]
2023-09-24_04:54:00.005523165, [76, 68788]
2023-09-24_04:54:00.005621793, [-115, 68726]
2023-09-24_04:54:00.005720421, [-262, 68781]
2023-09-24_04:54:00.005819049, [-364, 68863]
2023-09-24_04:54:00.005917677, [-205, 68888]
2023-09-24_04:54:00.006016305, [-87, 68809]
2023-09-24_04:54:00.006114933, [19, 68710]
2023-09-24_04:54:00.006213561, [31, 68814]
2023-09-24_04:54:00.006312189, [-155, 68692]
2023-09-24_04:54:00.006410817, [-158, 68463]
2023-09-24_04:54:00.006509445, [-132, 68546]
2023-09-24_04:54:00.006608073, [-165, 68726]
2023-09-24_04:54:00.006706701, [-175, 68819]
2023-09-24_04:54:00.006805329, [-122, 68847]
2023-09-24_04:54:00.006903957, [-75, 68930]
2023-09-24_04:54:00.007002585, [-139, 69020]
2023-09-24_04:54:00.007101213, [-242, 69091]
2023-09-24_04:54:00.007199841, [-262, 69007]
2023-09-24_04:54:00.007298469, [-234, 68918]
2023-09-24_04:54:00.007397097, [-347, 68986]
2023-09-24_04:54:00.007495724, [-261, 68986]
2023-09-24_04:54:00.007594352, [-27, 69033]
2023-09-24_04:54:00.007692980, [-102, 68938]
2023-09-24_04:54:00.007791608, [-203, 68770]
2023-09-24_04:54:00.007890236, [-191, 68858]
2023-09-24_04:54:00.007988864, [-286, 68791]
2023-09-24_04:54:00.008087492, [-406, 68804]
2023-09-24_04:54:00.008186120, [-332, 68936]
2023-09-24_04:54:00.008284748, [-136, 68920]
2023-09-24_04:54:00.008383376, [-48, 68919]
2023-09-24_04:54:00.008482004, [-105, 68879]
2023-09-24_04:54:00.008580632, [-103, 68918]
2023-09-24_04:54:00.008679260, [-44, 68893]
2023-09-24_04:54:00.008777888, [68, 68933]
2023-09-24_04:54:00.008876516, [203, 69068]
2023-09-24_04:54:00.008975144, [111, 69050]
2023-09-24_04:54:00.009073772, [-178, 68943]
2023-09-24_04:54:00.009172400, [-278, 69001]
2023-09-24_04:54:00.009271028, [-168, 69024]
2023-09-24_04:54:00.009369656, [-110, 68946]
2023-09-24_04:54:00.009468284, [-181, 68885]
2023-09-24_04:54:00.009566912, [-281, 68933]
2023-09-24_04:54:00.009665540, [-323, 69021]
2023-09-24_04:54:00.009764168, [-236, 69008]
2023-09-24_04:54:00.009862796, [-51, 69186]
2023-09-24_04:54:00.009961423, [182, 69324]
2023-09-24_04:54:00.010060051, [301, 69358]
2023-09-24_04:54:00.010158679, [227, 69302]
2023-09-24_04:54:00.010257307, [112, 69352]
2023-09-24_04:54:00.010355935, [-110, 69388]
2023-09-24_04:54:00.010454563, [-121, 69309]
2023-09-24_04:54:00.010553191, [112, 69192]
2023-09-24_04:54:00.010651819, [-15, 69043]
2023-09-24_04:54:00.010750447, [-2, 69068]
2023-09-24_04:54:00.010849075, [263, 69244]
2023-09-24_04:54:00.010947703, [342, 69377]
2023-09-24_04:54:00.011046331, [374, 69403]
2023-09-24_04:54:00.011144959, [251, 69356]
