"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-316M2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [382, 287]
2023-09-24_04:54:00.000098627, [340, 195]
2023-09-24_04:54:00.000197255, [148, 34]
2023-09-24_04:54:00.000295883, [-32, -78]
2023-09-24_04:54:00.000394511, [-95, -81]
2023-09-24_04:54:00.000493139, [-18, -70]
2023-09-24_04:54:00.000591767, [-83, -52]
2023-09-24_04:54:00.000690395, [-113, 90]
2023-09-24_04:54:00.000789023, [-39, 157]
2023-09-24_04:54:00.000887651, [49, 66]
2023-09-24_04:54:00.000986279, [255, 70]
2023-09-24_04:54:00.001084907, [404, 115]
2023-09-24_04:54:00.001183535, [195, 80]
2023-09-24_04:54:00.001282163, [-91, 161]
2023-09-24_04:54:00.001380791, [-369, 323]
2023-09-24_04:54:00.001479419, [-552, 168]
2023-09-24_04:54:00.001578047, [-504, -142]
2023-09-24_04:54:00.001676675, [-418, -227]
2023-09-24_04:54:00.001775303, [-249, -198]
2023-09-24_04:54:00.001873931, [-206, 42]
2023-09-24_04:54:00.001972559, [-275, 191]
2023-09-24_04:54:00.002071187, [-19, 103]
2023-09-24_04:54:00.002169815, [192, 145]
2023-09-24_04:54:00.002268443, [129, 303]
2023-09-24_04:54:00.002367071, [37, 475]
2023-09-24_04:54:00.002465699, [-77, 465]
2023-09-24_04:54:00.002564326, [-189, 262]
2023-09-24_04:54:00.002662954, [-177, 162]
2023-09-24_04:54:00.002761582, [-68, 140]
2023-09-24_04:54:00.002860210, [-107, 125]
2023-09-24_04:54:00.002958838, [-347, 63]
2023-09-24_04:54:00.003057466, [-490, -1]
2023-09-24_04:54:00.003156094, [-372, 13]
2023-09-24_04:54:00.003254722, [-93, 40]
2023-09-24_04:54:00.003353350, [15, 62]
2023-09-24_04:54:00.003451978, [-42, 81]
2023-09-24_04:54:00.003550606, [-149, 124]
2023-09-24_04:54:00.003649234, [-309, 174]
2023-09-24_04:54:00.003747862, [-136, 195]
2023-09-24_04:54:00.003846490, [94, 172]
2023-09-24_04:54:00.003945118, [-182, 166]
2023-09-24_04:54:00.004043746, [-627, 119]
2023-09-24_04:54:00.004142374, [-888, 32]
2023-09-24_04:54:00.004241002, [-735, -60]
2023-09-24_04:54:00.004339630, [-351, -66]
2023-09-24_04:54:00.004438258, [-162, 125]
2023-09-24_04:54:00.004536886, [-208, 167]
2023-09-24_04:54:00.004635514, [-261, 6]
2023-09-24_04:54:00.004734142, [-109, -41]
2023-09-24_04:54:00.004832770, [10, 10]
2023-09-24_04:54:00.004931398, [-81, 99]
2023-09-24_04:54:00.005030025, [-404, 49]
2023-09-24_04:54:00.005128653, [-571, 87]
2023-09-24_04:54:00.005227281, [-402, 40]
2023-09-24_04:54:00.005325909, [-143, -48]
2023-09-24_04:54:00.005424537, [-81, -92]
2023-09-24_04:54:00.005523165, [-167, -195]
2023-09-24_04:54:00.005621793, [-208, -249]
2023-09-24_04:54:00.005720421, [-330, -347]
2023-09-24_04:54:00.005819049, [-422, -302]
2023-09-24_04:54:00.005917677, [-457, -311]
2023-09-24_04:54:00.006016305, [-413, -273]
2023-09-24_04:54:00.006114933, [-294, -277]
2023-09-24_04:54:00.006213561, [-208, -271]
2023-09-24_04:54:00.006312189, [-164, -56]
2023-09-24_04:54:00.006410817, [-204, -59]
2023-09-24_04:54:00.006509445, [-135, -160]
2023-09-24_04:54:00.006608073, [10, -236]
2023-09-24_04:54:00.006706701, [-37, -191]
2023-09-24_04:54:00.006805329, [-16, -134]
2023-09-24_04:54:00.006903957, [12, -223]
2023-09-24_04:54:00.007002585, [-81, -315]
2023-09-24_04:54:00.007101213, [-213, -433]
2023-09-24_04:54:00.007199841, [-290, -436]
2023-09-24_04:54:00.007298469, [-62, -327]
2023-09-24_04:54:00.007397097, [98, -306]
2023-09-24_04:54:00.007495724, [-22, -306]
2023-09-24_04:54:00.007594352, [-33, -286]
2023-09-24_04:54:00.007692980, [-13, -373]
2023-09-24_04:54:00.007791608, [-72, -392]
2023-09-24_04:54:00.007890236, [-61, -316]
2023-09-24_04:54:00.007988864, [-49, -187]
2023-09-24_04:54:00.008087492, [-63, -252]
2023-09-24_04:54:00.008186120, [-8, -372]
2023-09-24_04:54:00.008284748, [88, -290]
2023-09-24_04:54:00.008383376, [49, -232]
2023-09-24_04:54:00.008482004, [54, -242]
2023-09-24_04:54:00.008580632, [123, -244]
2023-09-24_04:54:00.008679260, [48, -306]
2023-09-24_04:54:00.008777888, [168, -376]
2023-09-24_04:54:00.008876516, [390, -292]
2023-09-24_04:54:00.008975144, [410, -169]
2023-09-24_04:54:00.009073772, [153, -82]
2023-09-24_04:54:00.009172400, [-17, -136]
2023-09-24_04:54:00.009271028, [127, -98]
2023-09-24_04:54:00.009369656, [99, -147]
2023-09-24_04:54:00.009468284, [-104, -326]
2023-09-24_04:54:00.009566912, [-236, -361]
2023-09-24_04:54:00.009665540, [-146, -483]
2023-09-24_04:54:00.009764168, [184, -624]
2023-09-24_04:54:00.009862796, [355, -611]
2023-09-24_04:54:00.009961423, [359, -603]
2023-09-24_04:54:00.010060051, [319, -641]
2023-09-24_04:54:00.010158679, [214, -737]
2023-09-24_04:54:00.010257307, [147, -761]
2023-09-24_04:54:00.010355935, [37, -619]
2023-09-24_04:54:00.010454563, [-143, -497]
2023-09-24_04:54:00.010553191, [-223, -470]
2023-09-24_04:54:00.010651819, [-334, -488]
2023-09-24_04:54:00.010750447, [-215, -509]
2023-09-24_04:54:00.010849075, [61, -489]
2023-09-24_04:54:00.010947703, [71, -576]
2023-09-24_04:54:00.011046331, [149, -729]
2023-09-24_04:54:00.011144959, [173, -736]
2023-09-24_04:54:00.011243587, [133, -578]
2023-09-24_04:54:00.011342215, [118, -499]
2023-09-24_04:54:00.011440843, [24, -615]
2023-09-24_04:54:00.011539471, [-192, -670]
2023-09-24_04:54:00.011638099, [-424, -751]
2023-09-24_04:54:00.011736727, [-267, -695]
2023-09-24_04:54:00.011835355, [83, -576]
2023-09-24_04:54:00.011933983, [79, -544]
2023-09-24_04:54:00.012032611, [-47, -621]
2023-09-24_04:54:00.012131239, [-35, -731]
2023-09-24_04:54:00.012229867, [101, -690]
2023-09-24_04:54:00.012328495, [206, -752]
2023-09-24_04:54:00.012427122, [53, -858]
2023-09-24_04:54:00.012525750, [-99, -771]
2023-09-24_04:54:00.012624378, [-29, -692]
2023-09-24_04:54:00.012723006, [93, -591]
2023-09-24_04:54:00.012821634, [-10, -458]
2023-09-24_04:54:00.012920262, [-67, -400]
2023-09-24_04:54:00.013018890, [13, -375]
2023-09-24_04:54:00.013117518, [164, -370]
2023-09-24_04:54:00.013216146, [247, -344]
2023-09-24_04:54:00.013314774, [185, -428]
2023-09-24_04:54:00.013413402, [272, -574]
2023-09-24_04:54:00.013512030, [298, -550]
2023-09-24_04:54:00.013610658, [267, -507]
2023-09-24_04:54:00.013709286, [214, -497]
2023-09-24_04:54:00.013807914, [-29, -382]
2023-09-24_04:54:00.013906542, [5, -288]
2023-09-24_04:54:00.014005170, [168, -193]
2023-09-24_04:54:00.014103798, [152, -258]
2023-09-24_04:54:00.014202426, [81, -248]
2023-09-24_04:54:00.014301054, [72, -172]
2023-09-24_04:54:00.014399682, [82, -166]
2023-09-24_04:54:00.014498310, [32, -44]
2023-09-24_04:54:00.014596938, [104, 68]
2023-09-24_04:54:00.014695566, [355, 16]
2023-09-24_04:54:00.014794194, [577, -73]
2023-09-24_04:54:00.014892821, [536, 53]
2023-09-24_04:54:00.014991449, [328, 219]
2023-09-24_04:54:00.015090077, [37, 216]
2023-09-24_04:54:00.015188705, [-231, 147]
2023-09-24_04:54:00.015287333, [-400, 181]
2023-09-24_04:54:00.015385961, [-147, 150]
2023-09-24_04:54:00.015484589, [192, 33]
2023-09-24_04:54:00.015583217, [236, 25]
2023-09-24_04:54:00.015681845, [374, 116]
2023-09-24_04:54:00.015780473, [438, 174]
2023-09-24_04:54:00.015879101, [369, 198]
2023-09-24_04:54:00.015977729, [218, 194]
2023-09-24_04:54:00.016076357, [24, 119]
2023-09-24_04:54:00.016174985, [-2, 152]
2023-09-24_04:54:00.016273613, [-202, 113]
2023-09-24_04:54:00.016372241, [-451, 114]
2023-09-24_04:54:00.016470869, [-311, 178]
2023-09-24_04:54:00.016569497, [-91, 139]
2023-09-24_04:54:00.016668125, [-81, 18]
2023-09-24_04:54:00.016766753, [-168, -12]
2023-09-24_04:54:00.016865381, [76, 136]
2023-09-24_04:54:00.016964009, [404, 334]
