"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-314M1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [1195, 309]
2023-09-24_04:54:00.000098627, [915, 94]
2023-09-24_04:54:00.000197255, [653, -184]
2023-09-24_04:54:00.000295883, [359, -118]
2023-09-24_04:54:00.000394511, [94, 140]
2023-09-24_04:54:00.000493139, [-187, 184]
2023-09-24_04:54:00.000591767, [-484, 84]
2023-09-24_04:54:00.000690395, [-717, -54]
2023-09-24_04:54:00.000789023, [-892, -77]
2023-09-24_04:54:00.000887651, [-1165, 138]
2023-09-24_04:54:00.000986279, [-1377, 265]
2023-09-24_04:54:00.001084907, [-1401, 168]
2023-09-24_04:54:00.001183535, [-1486, 40]
2023-09-24_04:54:00.001282163, [-1669, 118]
2023-09-24_04:54:00.001380791, [-1732, 248]
2023-09-24_04:54:00.001479419, [-1814, 195]
2023-09-24_04:54:00.001578047, [-1897, 68]
2023-09-24_04:54:00.001676675, [-2031, 11]
2023-09-24_04:54:00.001775303, [-2271, 89]
2023-09-24_04:54:00.001873931, [-2243, 101]
2023-09-24_04:54:00.001972559, [-2240, 83]
2023-09-24_04:54:00.002071187, [-2254, 84]
2023-09-24_04:54:00.002169815, [-2312, 4]
2023-09-24_04:54:00.002268443, [-2356, -4]
2023-09-24_04:54:00.002367071, [-2319, 119]
2023-09-24_04:54:00.002465699, [-2241, 195]
2023-09-24_04:54:00.002564326, [-2245, 156]
2023-09-24_04:54:00.002662954, [-2371, 239]
2023-09-24_04:54:00.002761582, [-2566, 220]
2023-09-24_04:54:00.002860210, [-2670, -5]
2023-09-24_04:54:00.002958838, [-2646, -145]
2023-09-24_04:54:00.003057466, [-2745, -96]
2023-09-24_04:54:00.003156094, [-2701, -58]
2023-09-24_04:54:00.003254722, [-2678, -142]
2023-09-24_04:54:00.003353350, [-2731, -237]
2023-09-24_04:54:00.003451978, [-2660, -143]
2023-09-24_04:54:00.003550606, [-2650, 32]
2023-09-24_04:54:00.003649234, [-2651, 113]
2023-09-24_04:54:00.003747862, [-2682, 86]
2023-09-24_04:54:00.003846490, [-2770, 15]
2023-09-24_04:54:00.003945118, [-2812, 23]
2023-09-24_04:54:00.004043746, [-2838, 66]
2023-09-24_04:54:00.004142374, [-2837, 94]
2023-09-24_04:54:00.004241002, [-2727, 13]
2023-09-24_04:54:00.004339630, [-2821, -19]
2023-09-24_04:54:00.004438258, [-2996, 2]
2023-09-24_04:54:00.004536886, [-2971, 24]
2023-09-24_04:54:00.004635514, [-2915, 55]
2023-09-24_04:54:00.004734142, [-2941, -5]
2023-09-24_04:54:00.004832770, [-3143, -26]
2023-09-24_04:54:00.004931398, [-3211, 40]
2023-09-24_04:54:00.005030025, [-3108, 96]
2023-09-24_04:54:00.005128653, [-3042, 52]
2023-09-24_04:54:00.005227281, [-2915, -3]
2023-09-24_04:54:00.005325909, [-2876, -161]
2023-09-24_04:54:00.005424537, [-2936, -285]
2023-09-24_04:54:00.005523165, [-2811, -179]
2023-09-24_04:54:00.005621793, [-2737, -204]
2023-09-24_04:54:00.005720421, [-2626, -386]
2023-09-24_04:54:00.005819049, [-2430, -307]
2023-09-24_04:54:00.005917677, [-2374, -88]
2023-09-24_04:54:00.006016305, [-2307, 80]
2023-09-24_04:54:00.006114933, [-2251, 100]
2023-09-24_04:54:00.006213561, [-2193, -6]
2023-09-24_04:54:00.006312189, [-1833, -95]
2023-09-24_04:54:00.006410817, [-1528, -87]
2023-09-24_04:54:00.006509445, [-1318, 19]
2023-09-24_04:54:00.006608073, [-1098, 114]
