"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-304U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [1031, 33]
2023-09-24_04:54:00.000098627, [974, 44]
2023-09-24_04:54:00.000197255, [206, -90]
2023-09-24_04:54:00.000295883, [-558, -57]
2023-09-24_04:54:00.000394511, [-1024, 49]
2023-09-24_04:54:00.000493139, [-971, 22]
2023-09-24_04:54:00.000591767, [-622, -44]
2023-09-24_04:54:00.000690395, [-318, -182]
2023-09-24_04:54:00.000789023, [310, -128]
2023-09-24_04:54:00.000887651, [832, 37]
2023-09-24_04:54:00.000986279, [1179, 47]
2023-09-24_04:54:00.001084907, [1489, 83]
2023-09-24_04:54:00.001183535, [1261, 12]
2023-09-24_04:54:00.001282163, [319, -68]
2023-09-24_04:54:00.001380791, [-1044, -54]
2023-09-24_04:54:00.001479419, [-2065, 87]
2023-09-24_04:54:00.001578047, [-2110, 127]
2023-09-24_04:54:00.001676675, [-1356, 3]
2023-09-24_04:54:00.001775303, [-360, -109]
2023-09-24_04:54:00.001873931, [60, -21]
2023-09-24_04:54:00.001972559, [-276, 45]
2023-09-24_04:54:00.002071187, [-333, 9]
2023-09-24_04:54:00.002169815, [385, -148]
2023-09-24_04:54:00.002268443, [1024, -36]
2023-09-24_04:54:00.002367071, [329, 187]
2023-09-24_04:54:00.002465699, [-770, 126]
2023-09-24_04:54:00.002564326, [-1129, 38]
2023-09-24_04:54:00.002662954, [-692, -11]
2023-09-24_04:54:00.002761582, [-45, 56]
2023-09-24_04:54:00.002860210, [81, 5]
2023-09-24_04:54:00.002958838, [-795, -158]
2023-09-24_04:54:00.003057466, [-1625, -307]
2023-09-24_04:54:00.003156094, [-1376, -313]
2023-09-24_04:54:00.003254722, [-325, -105]
2023-09-24_04:54:00.003353350, [223, -103]
2023-09-24_04:54:00.003451978, [-104, -348]
2023-09-24_04:54:00.003550606, [-221, -398]
2023-09-24_04:54:00.003649234, [-33, -268]
2023-09-24_04:54:00.003747862, [294, -171]
2023-09-24_04:54:00.003846490, [343, -216]
2023-09-24_04:54:00.003945118, [-229, -434]
2023-09-24_04:54:00.004043746, [-1275, -431]
2023-09-24_04:54:00.004142374, [-2115, -292]
2023-09-24_04:54:00.004241002, [-1971, -336]
2023-09-24_04:54:00.004339630, [-832, -395]
2023-09-24_04:54:00.004438258, [-5, -546]
2023-09-24_04:54:00.004536886, [-236, -445]
2023-09-24_04:54:00.004635514, [-348, -234]
2023-09-24_04:54:00.004734142, [-37, -186]
2023-09-24_04:54:00.004832770, [180, -202]
2023-09-24_04:54:00.004931398, [-345, -349]
2023-09-24_04:54:00.005030025, [-1556, -283]
2023-09-24_04:54:00.005128653, [-1868, -231]
2023-09-24_04:54:00.005227281, [-1274, -109]
2023-09-24_04:54:00.005325909, [-239, -153]
2023-09-24_04:54:00.005424537, [222, -283]
2023-09-24_04:54:00.005523165, [-360, -307]
2023-09-24_04:54:00.005621793, [-687, -484]
2023-09-24_04:54:00.005720421, [-1053, -470]
2023-09-24_04:54:00.005819049, [-1122, -397]
2023-09-24_04:54:00.005917677, [-784, -164]
2023-09-24_04:54:00.006016305, [-601, -20]
2023-09-24_04:54:00.006114933, [-283, -161]
2023-09-24_04:54:00.006213561, [-48, -237]
2023-09-24_04:54:00.006312189, [-378, -387]
2023-09-24_04:54:00.006410817, [-610, -410]
2023-09-24_04:54:00.006509445, [-364, -248]
2023-09-24_04:54:00.006608073, [-315, -367]
2023-09-24_04:54:00.006706701, [-817, -473]
2023-09-24_04:54:00.006805329, [-892, -461]
2023-09-24_04:54:00.006903957, [-252, -379]
2023-09-24_04:54:00.007002585, [-155, -251]
2023-09-24_04:54:00.007101213, [-839, -302]
2023-09-24_04:54:00.007199841, [-922, -291]
2023-09-24_04:54:00.007298469, [-369, -320]
2023-09-24_04:54:00.007397097, [-412, -504]
2023-09-24_04:54:00.007495724, [-287, -475]
2023-09-24_04:54:00.007594352, [559, -287]
2023-09-24_04:54:00.007692980, [505, -342]
2023-09-24_04:54:00.007791608, [-291, -331]
2023-09-24_04:54:00.007890236, [-710, -201]
2023-09-24_04:54:00.007988864, [-914, -141]
2023-09-24_04:54:00.008087492, [-854, -187]
2023-09-24_04:54:00.008186120, [-547, -204]
2023-09-24_04:54:00.008284748, [-113, -136]
2023-09-24_04:54:00.008383376, [234, -256]
2023-09-24_04:54:00.008482004, [498, -408]
2023-09-24_04:54:00.008580632, [685, -450]
2023-09-24_04:54:00.008679260, [378, -434]
2023-09-24_04:54:00.008777888, [393, -265]
2023-09-24_04:54:00.008876516, [805, -176]
2023-09-24_04:54:00.008975144, [587, -180]
2023-09-24_04:54:00.009073772, [-197, -225]
2023-09-24_04:54:00.009172400, [-501, -349]
2023-09-24_04:54:00.009271028, [134, -277]
2023-09-24_04:54:00.009369656, [321, -197]
2023-09-24_04:54:00.009468284, [-502, -171]
2023-09-24_04:54:00.009566912, [-1196, -143]
2023-09-24_04:54:00.009665540, [-811, -268]
2023-09-24_04:54:00.009764168, [39, -273]
2023-09-24_04:54:00.009862796, [571, -228]
2023-09-24_04:54:00.009961423, [1038, -377]
2023-09-24_04:54:00.010060051, [1371, -443]
2023-09-24_04:54:00.010158679, [1026, -252]
2023-09-24_04:54:00.010257307, [260, -17]
2023-09-24_04:54:00.010355935, [-259, -74]
2023-09-24_04:54:00.010454563, [-611, -175]
2023-09-24_04:54:00.010553191, [-1060, -260]
2023-09-24_04:54:00.010651819, [-1245, -319]
2023-09-24_04:54:00.010750447, [-666, -271]
2023-09-24_04:54:00.010849075, [-106, -174]
2023-09-24_04:54:00.010947703, [-35, -169]
2023-09-24_04:54:00.011046331, [377, -306]
2023-09-24_04:54:00.011144959, [766, -380]
2023-09-24_04:54:00.011243587, [508, -429]
2023-09-24_04:54:00.011342215, [80, -418]
2023-09-24_04:54:00.011440843, [-587, -276]
2023-09-24_04:54:00.011539471, [-1596, -294]
2023-09-24_04:54:00.011638099, [-2059, -286]
2023-09-24_04:54:00.011736727, [-1425, -201]
2023-09-24_04:54:00.011835355, [-484, -284]
2023-09-24_04:54:00.011933983, [119, -370]
2023-09-24_04:54:00.012032611, [-8, -396]
2023-09-24_04:54:00.012131239, [-448, -407]
2023-09-24_04:54:00.012229867, [-178, -474]
2023-09-24_04:54:00.012328495, [432, -658]
2023-09-24_04:54:00.012427122, [92, -609]
2023-09-24_04:54:00.012525750, [-487, -343]
2023-09-24_04:54:00.012624378, [-487, -289]
2023-09-24_04:54:00.012723006, [-626, -296]
2023-09-24_04:54:00.012821634, [-898, -180]
2023-09-24_04:54:00.012920262, [-987, -150]
2023-09-24_04:54:00.013018890, [-475, -297]
2023-09-24_04:54:00.013117518, [105, -407]
2023-09-24_04:54:00.013216146, [293, -404]
2023-09-24_04:54:00.013314774, [541, -241]
2023-09-24_04:54:00.013413402, [607, -101]
2023-09-24_04:54:00.013512030, [49, -213]
2023-09-24_04:54:00.013610658, [50, -375]
2023-09-24_04:54:00.013709286, [-110, -397]
2023-09-24_04:54:00.013807914, [-912, -295]
2023-09-24_04:54:00.013906542, [-754, -197]
2023-09-24_04:54:00.014005170, [-66, -29]
2023-09-24_04:54:00.014103798, [-23, -54]
2023-09-24_04:54:00.014202426, [-204, -73]
2023-09-24_04:54:00.014301054, [-291, -2]
2023-09-24_04:54:00.014399682, [-516, -70]
2023-09-24_04:54:00.014498310, [-735, -34]
2023-09-24_04:54:00.014596938, [-593, -114]
2023-09-24_04:54:00.014695566, [491, -134]
2023-09-24_04:54:00.014794194, [1401, -67]
2023-09-24_04:54:00.014892821, [1021, -144]
2023-09-24_04:54:00.014991449, [35, -170]
2023-09-24_04:54:00.015090077, [-948, 55]
2023-09-24_04:54:00.015188705, [-1932, 96]
2023-09-24_04:54:00.015287333, [-2269, -130]
2023-09-24_04:54:00.015385961, [-1067, -254]
2023-09-24_04:54:00.015484589, [457, -152]
2023-09-24_04:54:00.015583217, [929, -87]
2023-09-24_04:54:00.015681845, [775, -178]
2023-09-24_04:54:00.015780473, [639, -150]
2023-09-24_04:54:00.015879101, [735, -172]
2023-09-24_04:54:00.015977729, [699, -324]
2023-09-24_04:54:00.016076357, [305, -183]
2023-09-24_04:54:00.016174985, [-724, 14]
2023-09-24_04:54:00.016273613, [-1770, 13]
2023-09-24_04:54:00.016372241, [-1929, -73]
2023-09-24_04:54:00.016470869, [-1193, -214]
2023-09-24_04:54:00.016569497, [-452, -209]
2023-09-24_04:54:00.016668125, [-107, -104]
2023-09-24_04:54:00.016766753, [213, 1]
2023-09-24_04:54:00.016865381, [570, -118]
2023-09-24_04:54:00.016964009, [803, -236]
2023-09-24_04:54:00.017062637, [600, -5]
2023-09-24_04:54:00.017161265, [190, 225]
2023-09-24_04:54:00.017259893, [-99, 258]
2023-09-24_04:54:00.017358520, [-574, 38]
2023-09-24_04:54:00.017457148, [-1111, 20]
2023-09-24_04:54:00.017555776, [-1179, 94]
2023-09-24_04:54:00.017654404, [-338, 57]
2023-09-24_04:54:00.017753032, [524, 66]
2023-09-24_04:54:00.017851660, [389, -42]
2023-09-24_04:54:00.017950288, [-387, -88]
2023-09-24_04:54:00.018048916, [-597, -98]
2023-09-24_04:54:00.018147544, [17, -144]
2023-09-24_04:54:00.018246172, [701, -187]
2023-09-24_04:54:00.018344800, [1218, -259]
2023-09-24_04:54:00.018443428, [1306, -212]
2023-09-24_04:54:00.018542056, [918, -45]
2023-09-24_04:54:00.018640684, [360, -67]
2023-09-24_04:54:00.018739312, [-312, -136]
2023-09-24_04:54:00.018837940, [-808, -295]
2023-09-24_04:54:00.018936568, [-743, -438]
2023-09-24_04:54:00.019035196, [-268, -308]
2023-09-24_04:54:00.019133824, [502, -91]
2023-09-24_04:54:00.019232452, [1117, 38]
2023-09-24_04:54:00.019331080, [1174, -137]
2023-09-24_04:54:00.019429708, [868, -186]
2023-09-24_04:54:00.019528336, [523, 31]
2023-09-24_04:54:00.019626964, [82, -46]
2023-09-24_04:54:00.019725592, [99, -277]
2023-09-24_04:54:00.019824220, [582, -342]
2023-09-24_04:54:00.019922847, [89, -181]
2023-09-24_04:54:00.020021475, [-821, 20]
2023-09-24_04:54:00.020120103, [-1012, 146]
2023-09-24_04:54:00.020218731, [-94, 237]
2023-09-24_04:54:00.020317359, [990, 77]
2023-09-24_04:54:00.020415987, [1366, -91]
2023-09-24_04:54:00.020514615, [1125, -53]
2023-09-24_04:54:00.020613243, [361, -10]
2023-09-24_04:54:00.020711871, [-208, -52]
2023-09-24_04:54:00.020810499, [-233, -118]
2023-09-24_04:54:00.020909127, [197, -128]
2023-09-24_04:54:00.021007755, [561, -198]
2023-09-24_04:54:00.021106383, [554, -157]
2023-09-24_04:54:00.021205011, [307, -92]
2023-09-24_04:54:00.021303639, [-282, 38]
2023-09-24_04:54:00.021402267, [-897, 183]
2023-09-24_04:54:00.021500895, [-1107, 143]
2023-09-24_04:54:00.021599523, [-828, 63]
2023-09-24_04:54:00.021698151, [-188, 4]
2023-09-24_04:54:00.021796779, [640, 29]
2023-09-24_04:54:00.021895407, [969, 26]
2023-09-24_04:54:00.021994035, [970, -17]
2023-09-24_04:54:00.022092663, [863, -28]
2023-09-24_04:54:00.022191291, [346, -3]
2023-09-24_04:54:00.022289919, [-291, 47]
2023-09-24_04:54:00.022388546, [-649, 70]
2023-09-24_04:54:00.022487174, [-444, -63]
2023-09-24_04:54:00.022585802, [-306, -152]
2023-09-24_04:54:00.022684430, [-405, -76]
2023-09-24_04:54:00.022783058, [-337, 62]
2023-09-24_04:54:00.022881686, [-204, 94]
2023-09-24_04:54:00.022980314, [-15, 120]
2023-09-24_04:54:00.023078942, [3, 157]
2023-09-24_04:54:00.023177570, [-38, 126]
2023-09-24_04:54:00.023276198, [-132, -11]
2023-09-24_04:54:00.023374826, [-692, -132]
2023-09-24_04:54:00.023473454, [-876, 6]
2023-09-24_04:54:00.023572082, [-778, 57]
2023-09-24_04:54:00.023670710, [-576, 78]
2023-09-24_04:54:00.023769338, [-314, 93]
2023-09-24_04:54:00.023867966, [-519, 40]
2023-09-24_04:54:00.023966594, [-893, 106]
2023-09-24_04:54:00.024065222, [-1027, 100]
2023-09-24_04:54:00.024163850, [-1398, -35]
2023-09-24_04:54:00.024262478, [-1238, -56]
2023-09-24_04:54:00.024361106, [-115, -37]
2023-09-24_04:54:00.024459734, [632, -55]
2023-09-24_04:54:00.024558362, [543, 83]
2023-09-24_04:54:00.024656990, [136, 212]
2023-09-24_04:54:00.024755618, [-414, 141]
2023-09-24_04:54:00.024854245, [-1058, 72]
2023-09-24_04:54:00.024952873, [-1481, 118]
2023-09-24_04:54:00.025051501, [-1503, 190]
2023-09-24_04:54:00.025150129, [-970, 163]
2023-09-24_04:54:00.025248757, [-133, 31]
2023-09-24_04:54:00.025347385, [303, -131]
2023-09-24_04:54:00.025446013, [261, -83]
2023-09-24_04:54:00.025544641, [6, -102]
2023-09-24_04:54:00.025643269, [-221, -246]
2023-09-24_04:54:00.025741897, [-287, -208]
2023-09-24_04:54:00.025840525, [-425, -246]
2023-09-24_04:54:00.025939153, [-1138, 5]
2023-09-24_04:54:00.026037781, [-1360, 143]
2023-09-24_04:54:00.026136409, [-494, -83]
2023-09-24_04:54:00.026235037, [-190, -246]
2023-09-24_04:54:00.026333665, [-583, -412]
2023-09-24_04:54:00.026432293, [-1006, -335]
2023-09-24_04:54:00.026530921, [-953, -147]
2023-09-24_04:54:00.026629549, [-120, -216]
2023-09-24_04:54:00.026728177, [392, -306]
2023-09-24_04:54:00.026826805, [331, -299]
2023-09-24_04:54:00.026925433, [-17, -320]
2023-09-24_04:54:00.027024061, [-197, -341]
2023-09-24_04:54:00.027122689, [58, -258]
2023-09-24_04:54:00.027221317, [92, -293]
2023-09-24_04:54:00.027319944, [-101, -363]
2023-09-24_04:54:00.027418572, [22, -290]
2023-09-24_04:54:00.027517200, [320, -156]
2023-09-24_04:54:00.027615828, [45, -149]
2023-09-24_04:54:00.027714456, [-722, -259]
2023-09-24_04:54:00.027813084, [-859, -370]
2023-09-24_04:54:00.027911712, [-343, -378]
2023-09-24_04:54:00.028010340, [128, -412]
2023-09-24_04:54:00.028108968, [709, -442]
2023-09-24_04:54:00.028207596, [958, -352]
2023-09-24_04:54:00.028306224, [508, -242]
2023-09-24_04:54:00.028404852, [-198, -192]
2023-09-24_04:54:00.028503480, [-714, -255]
2023-09-24_04:54:00.028602108, [-373, -164]
2023-09-24_04:54:00.028700736, [610, -49]
2023-09-24_04:54:00.028799364, [981, -28]
2023-09-24_04:54:00.028897992, [275, -251]
2023-09-24_04:54:00.028996620, [-582, -399]
2023-09-24_04:54:00.029095248, [-660, -273]
2023-09-24_04:54:00.029193876, [81, -361]
2023-09-24_04:54:00.029292504, [668, -459]
2023-09-24_04:54:00.029391132, [765, -443]
2023-09-24_04:54:00.029489760, [723, -322]
2023-09-24_04:54:00.029588388, [398, -220]
2023-09-24_04:54:00.029687016, [120, -128]
2023-09-24_04:54:00.029785643, [-73, -53]
2023-09-24_04:54:00.029884271, [-288, -227]
2023-09-24_04:54:00.029982899, [-574, -245]
2023-09-24_04:54:00.030081527, [-433, -138]
2023-09-24_04:54:00.030180155, [-20, -86]
2023-09-24_04:54:00.030278783, [198, -186]
2023-09-24_04:54:00.030377411, [531, -255]
2023-09-24_04:54:00.030476039, [816, -192]
2023-09-24_04:54:00.030574667, [707, -214]
2023-09-24_04:54:00.030673295, [213, -135]
2023-09-24_04:54:00.030771923, [-320, 84]
2023-09-24_04:54:00.030870551, [-439, 168]
2023-09-24_04:54:00.030969179, [-227, 127]
2023-09-24_04:54:00.031067807, [255, 127]
2023-09-24_04:54:00.031166435, [756, 78]
2023-09-24_04:54:00.031265063, [690, 228]
2023-09-24_04:54:00.031363691, [99, 271]
2023-09-24_04:54:00.031462319, [-448, -15]
2023-09-24_04:54:00.031560947, [-262, -273]
2023-09-24_04:54:00.031659575, [312, -377]
2023-09-24_04:54:00.031758203, [630, -408]
2023-09-24_04:54:00.031856831, [492, -279]
2023-09-24_04:54:00.031955459, [-34, -189]
2023-09-24_04:54:00.032054087, [-340, -82]
2023-09-24_04:54:00.032152715, [-183, -102]
2023-09-24_04:54:00.032251342, [-73, -163]
2023-09-24_04:54:00.032349970, [268, 120]
2023-09-24_04:54:00.032448598, [115, 351]
2023-09-24_04:54:00.032547226, [-380, 220]
2023-09-24_04:54:00.032645854, [-142, 64]
2023-09-24_04:54:00.032744482, [122, 56]
2023-09-24_04:54:00.032843110, [-113, -54]
2023-09-24_04:54:00.032941738, [-321, 31]
2023-09-24_04:54:00.033040366, [103, 163]
2023-09-24_04:54:00.033138994, [196, 182]
2023-09-24_04:54:00.033237622, [128, 128]
2023-09-24_04:54:00.033336250, [150, 45]
2023-09-24_04:54:00.033434878, [-203, 116]
2023-09-24_04:54:00.033533506, [-667, 224]
2023-09-24_04:54:00.033632134, [-884, 80]
2023-09-24_04:54:00.033730762, [-655, -56]
2023-09-24_04:54:00.033829390, [-262, -52]
2023-09-24_04:54:00.033928018, [285, -53]
2023-09-24_04:54:00.034026646, [725, -50]
2023-09-24_04:54:00.034125274, [219, -6]
2023-09-24_04:54:00.034223902, [-598, -102]
2023-09-24_04:54:00.034322530, [-563, -248]
2023-09-24_04:54:00.034421158, [-61, -109]
2023-09-24_04:54:00.034519786, [-52, -54]
2023-09-24_04:54:00.034618414, [-260, -136]
2023-09-24_04:54:00.034717041, [102, -249]
2023-09-24_04:54:00.034815669, [350, -197]
2023-09-24_04:54:00.034914297, [-96, -199]
2023-09-24_04:54:00.035012925, [-669, -128]
2023-09-24_04:54:00.035111553, [-716, -78]
2023-09-24_04:54:00.035210181, [-467, -187]
2023-09-24_04:54:00.035308809, [-247, -193]
2023-09-24_04:54:00.035407437, [52, -29]
2023-09-24_04:54:00.035506065, [285, -81]
2023-09-24_04:54:00.035604693, [310, -344]
2023-09-24_04:54:00.035703321, [73, -503]
2023-09-24_04:54:00.035801949, [-610, -359]
2023-09-24_04:54:00.035900577, [-1019, -97]
2023-09-24_04:54:00.035999205, [-1288, -69]
2023-09-24_04:54:00.036097833, [-1201, -38]
2023-09-24_04:54:00.036196461, [-536, 75]
2023-09-24_04:54:00.036295089, [-209, 79]
2023-09-24_04:54:00.036393717, [-145, 70]
2023-09-24_04:54:00.036492345, [290, -58]
2023-09-24_04:54:00.036590973, [824, -316]
2023-09-24_04:54:00.036689601, [625, -335]
2023-09-24_04:54:00.036788229, [93, -229]
2023-09-24_04:54:00.036886857, [-250, -143]
2023-09-24_04:54:00.036985485, [-584, -231]
2023-09-24_04:54:00.037084113, [-876, -457]
2023-09-24_04:54:00.037182740, [-768, -522]
2023-09-24_04:54:00.037281368, [-412, -421]
2023-09-24_04:54:00.037379996, [-241, -284]
2023-09-24_04:54:00.037478624, [-210, -108]
2023-09-24_04:54:00.037577252, [301, -8]
2023-09-24_04:54:00.037675880, [915, -34]
2023-09-24_04:54:00.037774508, [750, 0]
2023-09-24_04:54:00.037873136, [84, 96]
2023-09-24_04:54:00.037971764, [-368, -27]
2023-09-24_04:54:00.038070392, [-303, -28]
2023-09-24_04:54:00.038169020, [-246, -62]
2023-09-24_04:54:00.038267648, [-498, -121]
2023-09-24_04:54:00.038366276, [-375, -59]
2023-09-24_04:54:00.038464904, [-4, 118]
2023-09-24_04:54:00.038563532, [523, 353]
2023-09-24_04:54:00.038662160, [701, 238]
2023-09-24_04:54:00.038760788, [414, 18]
2023-09-24_04:54:00.038859416, [78, -3]
2023-09-24_04:54:00.038958044, [-211, -27]
2023-09-24_04:54:00.039056672, [67, -99]
2023-09-24_04:54:00.039155300, [824, -45]
2023-09-24_04:54:00.039253928, [773, 67]
2023-09-24_04:54:00.039352556, [-14, 36]
2023-09-24_04:54:00.039451184, [79, -62]
2023-09-24_04:54:00.039549812, [590, -196]
2023-09-24_04:54:00.039648440, [708, -252]
2023-09-24_04:54:00.039747067, [451, -32]
2023-09-24_04:54:00.039845695, [567, 32]
2023-09-24_04:54:00.039944323, [1172, 121]
2023-09-24_04:54:00.040042951, [1339, 70]
2023-09-24_04:54:00.040141579, [903, -192]
2023-09-24_04:54:00.040240207, [408, -168]
2023-09-24_04:54:00.040338835, [211, -114]
2023-09-24_04:54:00.040437463, [131, -115]
2023-09-24_04:54:00.040536091, [94, -66]
2023-09-24_04:54:00.040634719, [-47, -54]
2023-09-24_04:54:00.040733347, [-233, 106]
2023-09-24_04:54:00.040831975, [-55, 71]
2023-09-24_04:54:00.040930603, [317, -175]
2023-09-24_04:54:00.041029231, [357, -198]
2023-09-24_04:54:00.041127859, [292, -108]
2023-09-24_04:54:00.041226487, [215, -27]
