"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [3446, 377]
2023-09-24_04:54:00.000098627, [3529, 243]
2023-09-24_04:54:00.000197255, [2606, 325]
2023-09-24_04:54:00.000295883, [1560, 354]
2023-09-24_04:54:00.000394511, [1228, 236]
2023-09-24_04:54:00.000493139, [1353, 291]
2023-09-24_04:54:00.000591767, [1352, 392]
2023-09-24_04:54:00.000690395, [1331, 239]
2023-09-24_04:54:00.000789023, [1984, 148]
2023-09-24_04:54:00.000887651, [2440, 126]
2023-09-24_04:54:00.000986279, [2548, 153]
2023-09-24_04:54:00.001084907, [2783, 273]
2023-09-24_04:54:00.001183535, [2407, 406]
2023-09-24_04:54:00.001282163, [1385, 256]
2023-09-24_04:54:00.001380791, [-106, 90]
2023-09-24_04:54:00.001479419, [-1178, 166]
2023-09-24_04:54:00.001578047, [-1143, 264]
2023-09-24_04:54:00.001676675, [-536, 271]
2023-09-24_04:54:00.001775303, [527, 226]
2023-09-24_04:54:00.001873931, [861, 165]
2023-09-24_04:54:00.001972559, [281, 177]
2023-09-24_04:54:00.002071187, [388, 303]
2023-09-24_04:54:00.002169815, [1292, 144]
2023-09-24_04:54:00.002268443, [1944, 16]
2023-09-24_04:54:00.002367071, [1276, 124]
2023-09-24_04:54:00.002465699, [21, 128]
2023-09-24_04:54:00.002564326, [-462, 182]
2023-09-24_04:54:00.002662954, [193, 311]
2023-09-24_04:54:00.002761582, [951, 414]
2023-09-24_04:54:00.002860210, [691, 458]
2023-09-24_04:54:00.002958838, [-476, 267]
2023-09-24_04:54:00.003057466, [-1246, 117]
2023-09-24_04:54:00.003156094, [-894, 99]
2023-09-24_04:54:00.003254722, [118, 43]
2023-09-24_04:54:00.003353350, [643, -14]
2023-09-24_04:54:00.003451978, [251, 6]
2023-09-24_04:54:00.003550606, [-184, 64]
2023-09-24_04:54:00.003649234, [-160, 117]
2023-09-24_04:54:00.003747862, [264, 188]
2023-09-24_04:54:00.003846490, [387, 188]
