"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-301U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [1180, -24]
2023-09-24_04:54:00.000098627, [1154, 95]
2023-09-24_04:54:00.000197255, [350, 32]
2023-09-24_04:54:00.000295883, [-244, 25]
2023-09-24_04:54:00.000394511, [-402, 27]
2023-09-24_04:54:00.000493139, [-494, -161]
2023-09-24_04:54:00.000591767, [-497, -197]
2023-09-24_04:54:00.000690395, [-388, -73]
2023-09-24_04:54:00.000789023, [351, 113]
2023-09-24_04:54:00.000887651, [1082, 114]
2023-09-24_04:54:00.000986279, [1300, 19]
2023-09-24_04:54:00.001084907, [1523, 71]
2023-09-24_04:54:00.001183535, [1344, -14]
2023-09-24_04:54:00.001282163, [495, -100]
2023-09-24_04:54:00.001380791, [-748, -19]
2023-09-24_04:54:00.001479419, [-1510, 8]
2023-09-24_04:54:00.001578047, [-1631, -113]
2023-09-24_04:54:00.001676675, [-999, -11]
2023-09-24_04:54:00.001775303, [134, 231]
2023-09-24_04:54:00.001873931, [505, 127]
2023-09-24_04:54:00.001972559, [60, -84]
2023-09-24_04:54:00.002071187, [176, -209]
2023-09-24_04:54:00.002169815, [990, -160]
2023-09-24_04:54:00.002268443, [1401, 89]
2023-09-24_04:54:00.002367071, [771, 65]
2023-09-24_04:54:00.002465699, [-101, -34]
2023-09-24_04:54:00.002564326, [-333, -45]
2023-09-24_04:54:00.002662954, [114, -115]
2023-09-24_04:54:00.002761582, [914, -55]
2023-09-24_04:54:00.002860210, [930, 105]
2023-09-24_04:54:00.002958838, [-210, 79]
2023-09-24_04:54:00.003057466, [-968, -96]
2023-09-24_04:54:00.003156094, [-515, -86]
2023-09-24_04:54:00.003254722, [588, 0]
2023-09-24_04:54:00.003353350, [1092, 65]
2023-09-24_04:54:00.003451978, [733, 60]
2023-09-24_04:54:00.003550606, [344, 61]
2023-09-24_04:54:00.003649234, [474, 3]
2023-09-24_04:54:00.003747862, [1091, -52]
2023-09-24_04:54:00.003846490, [1219, 4]
2023-09-24_04:54:00.003945118, [400, 73]
2023-09-24_04:54:00.004043746, [-773, 21]
2023-09-24_04:54:00.004142374, [-1493, -57]
2023-09-24_04:54:00.004241002, [-1197, 25]
2023-09-24_04:54:00.004339630, [-57, -74]
2023-09-24_04:54:00.004438258, [773, -248]
2023-09-24_04:54:00.004536886, [587, -85]
2023-09-24_04:54:00.004635514, [419, 58]
2023-09-24_04:54:00.004734142, [900, -38]
2023-09-24_04:54:00.004832770, [1188, -53]
2023-09-24_04:54:00.004931398, [388, 145]
2023-09-24_04:54:00.005030025, [-823, 264]
2023-09-24_04:54:00.005128653, [-968, 123]
2023-09-24_04:54:00.005227281, [-424, -125]
2023-09-24_04:54:00.005325909, [548, -248]
2023-09-24_04:54:00.005424537, [931, -128]
2023-09-24_04:54:00.005523165, [404, -67]
2023-09-24_04:54:00.005621793, [69, -89]
2023-09-24_04:54:00.005720421, [-348, 83]
2023-09-24_04:54:00.005819049, [-439, 191]
2023-09-24_04:54:00.005917677, [-237, 231]
2023-09-24_04:54:00.006016305, [103, 206]
2023-09-24_04:54:00.006114933, [536, 31]
2023-09-24_04:54:00.006213561, [552, 0]
2023-09-24_04:54:00.006312189, [133, -13]
2023-09-24_04:54:00.006410817, [-47, -97]
2023-09-24_04:54:00.006509445, [104, -139]
2023-09-24_04:54:00.006608073, [10, -78]
2023-09-24_04:54:00.006706701, [-449, 2]
2023-09-24_04:54:00.006805329, [-462, 96]
2023-09-24_04:54:00.006903957, [1, 6]
2023-09-24_04:54:00.007002585, [-71, 3]
2023-09-24_04:54:00.007101213, [-539, 245]
2023-09-24_04:54:00.007199841, [-531, 199]
2023-09-24_04:54:00.007298469, [-168, -38]
2023-09-24_04:54:00.007397097, [-98, -189]
2023-09-24_04:54:00.007495724, [17, -167]
2023-09-24_04:54:00.007594352, [705, 98]
2023-09-24_04:54:00.007692980, [569, 197]
2023-09-24_04:54:00.007791608, [-300, -27]
2023-09-24_04:54:00.007890236, [-588, -39]
2023-09-24_04:54:00.007988864, [-676, 45]
2023-09-24_04:54:00.008087492, [-695, 108]
2023-09-24_04:54:00.008186120, [-421, -15]
2023-09-24_04:54:00.008284748, [5, -72]
2023-09-24_04:54:00.008383376, [258, 79]
2023-09-24_04:54:00.008482004, [377, 149]
2023-09-24_04:54:00.008580632, [580, 127]
2023-09-24_04:54:00.008679260, [530, 74]
2023-09-24_04:54:00.008777888, [659, 12]
2023-09-24_04:54:00.008876516, [1044, -19]
2023-09-24_04:54:00.008975144, [910, 55]
2023-09-24_04:54:00.009073772, [106, 256]
