"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-310U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [1054, -21]
2023-09-24_04:54:00.000098627, [1014, -110]
2023-09-24_04:54:00.000197255, [270, -266]
2023-09-24_04:54:00.000295883, [-341, -196]
2023-09-24_04:54:00.000394511, [-377, -157]
2023-09-24_04:54:00.000493139, [-314, -204]
2023-09-24_04:54:00.000591767, [-113, -205]
2023-09-24_04:54:00.000690395, [190, -255]
2023-09-24_04:54:00.000789023, [725, -158]
2023-09-24_04:54:00.000887651, [1015, -181]
2023-09-24_04:54:00.000986279, [1103, -258]
2023-09-24_04:54:00.001084907, [1465, -213]
2023-09-24_04:54:00.001183535, [1458, -113]
2023-09-24_04:54:00.001282163, [517, -43]
2023-09-24_04:54:00.001380791, [-939, -182]
2023-09-24_04:54:00.001479419, [-1862, -223]
2023-09-24_04:54:00.001578047, [-1797, -166]
2023-09-24_04:54:00.001676675, [-861, -163]
2023-09-24_04:54:00.001775303, [364, -106]
2023-09-24_04:54:00.001873931, [706, 5]
2023-09-24_04:54:00.001972559, [142, 47]
2023-09-24_04:54:00.002071187, [88, -26]
2023-09-24_04:54:00.002169815, [831, 66]
2023-09-24_04:54:00.002268443, [1323, 297]
2023-09-24_04:54:00.002367071, [784, 198]
2023-09-24_04:54:00.002465699, [-43, -16]
2023-09-24_04:54:00.002564326, [-419, 20]
2023-09-24_04:54:00.002662954, [-4, 150]
2023-09-24_04:54:00.002761582, [541, -39]
2023-09-24_04:54:00.002860210, [495, -282]
2023-09-24_04:54:00.002958838, [-249, -270]
2023-09-24_04:54:00.003057466, [-948, -192]
2023-09-24_04:54:00.003156094, [-576, -303]
2023-09-24_04:54:00.003254722, [443, -330]
2023-09-24_04:54:00.003353350, [840, -295]
2023-09-24_04:54:00.003451978, [478, -214]
2023-09-24_04:54:00.003550606, [81, -135]
2023-09-24_04:54:00.003649234, [206, -113]
2023-09-24_04:54:00.003747862, [796, -134]
2023-09-24_04:54:00.003846490, [906, -268]
2023-09-24_04:54:00.003945118, [367, -255]
2023-09-24_04:54:00.004043746, [-573, -166]
2023-09-24_04:54:00.004142374, [-1323, -221]
2023-09-24_04:54:00.004241002, [-993, -325]
2023-09-24_04:54:00.004339630, [74, -283]
2023-09-24_04:54:00.004438258, [858, -469]
2023-09-24_04:54:00.004536886, [959, -545]
2023-09-24_04:54:00.004635514, [808, -528]
2023-09-24_04:54:00.004734142, [963, -498]
2023-09-24_04:54:00.004832770, [1209, -436]
2023-09-24_04:54:00.004931398, [631, -436]
2023-09-24_04:54:00.005030025, [-764, -358]
2023-09-24_04:54:00.005128653, [-1158, -323]
2023-09-24_04:54:00.005227281, [-495, -220]
2023-09-24_04:54:00.005325909, [770, -328]
2023-09-24_04:54:00.005424537, [1283, -663]
2023-09-24_04:54:00.005523165, [581, -636]
2023-09-24_04:54:00.005621793, [388, -432]
2023-09-24_04:54:00.005720421, [43, -417]
2023-09-24_04:54:00.005819049, [-238, -637]
2023-09-24_04:54:00.005917677, [70, -691]
2023-09-24_04:54:00.006016305, [424, -409]
2023-09-24_04:54:00.006114933, [826, -239]
2023-09-24_04:54:00.006213561, [893, -387]
2023-09-24_04:54:00.006312189, [377, -523]
2023-09-24_04:54:00.006410817, [-10, -536]
2023-09-24_04:54:00.006509445, [203, -455]
2023-09-24_04:54:00.006608073, [324, -491]
2023-09-24_04:54:00.006706701, [-6, -877]
2023-09-24_04:54:00.006805329, [6, -956]
2023-09-24_04:54:00.006903957, [518, -805]
2023-09-24_04:54:00.007002585, [572, -753]
2023-09-24_04:54:00.007101213, [-115, -640]
2023-09-24_04:54:00.007199841, [-245, -637]
2023-09-24_04:54:00.007298469, [333, -541]
2023-09-24_04:54:00.007397097, [428, -479]
2023-09-24_04:54:00.007495724, [448, -610]
2023-09-24_04:54:00.007594352, [1131, -614]
2023-09-24_04:54:00.007692980, [1015, -626]
2023-09-24_04:54:00.007791608, [11, -625]
2023-09-24_04:54:00.007890236, [-453, -519]
2023-09-24_04:54:00.007988864, [-515, -453]
2023-09-24_04:54:00.008087492, [-374, -544]
2023-09-24_04:54:00.008186120, [-23, -530]
2023-09-24_04:54:00.008284748, [344, -376]
2023-09-24_04:54:00.008383376, [684, -422]
2023-09-24_04:54:00.008482004, [790, -617]
2023-09-24_04:54:00.008580632, [756, -644]
2023-09-24_04:54:00.008679260, [563, -635]
2023-09-24_04:54:00.008777888, [830, -594]
2023-09-24_04:54:00.008876516, [1343, -517]
2023-09-24_04:54:00.008975144, [933, -436]
2023-09-24_04:54:00.009073772, [-174, -429]
2023-09-24_04:54:00.009172400, [-540, -545]
2023-09-24_04:54:00.009271028, [154, -536]
2023-09-24_04:54:00.009369656, [296, -608]
2023-09-24_04:54:00.009468284, [-494, -889]
2023-09-24_04:54:00.009566912, [-1013, -1046]
2023-09-24_04:54:00.009665540, [-522, -945]
2023-09-24_04:54:00.009764168, [353, -930]
2023-09-24_04:54:00.009862796, [849, -848]
2023-09-24_04:54:00.009961423, [1216, -796]
2023-09-24_04:54:00.010060051, [1434, -895]
2023-09-24_04:54:00.010158679, [1065, -865]
2023-09-24_04:54:00.010257307, [330, -817]
2023-09-24_04:54:00.010355935, [-271, -743]
2023-09-24_04:54:00.010454563, [-404, -676]
2023-09-24_04:54:00.010553191, [-508, -671]
2023-09-24_04:54:00.010651819, [-824, -717]
