"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-305U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [930, -108]
2023-09-24_04:54:00.000098627, [991, -47]
2023-09-24_04:54:00.000197255, [335, 2]
2023-09-24_04:54:00.000295883, [-578, 1]
2023-09-24_04:54:00.000394511, [-829, -128]
2023-09-24_04:54:00.000493139, [-669, -203]
2023-09-24_04:54:00.000591767, [-497, -228]
2023-09-24_04:54:00.000690395, [-409, -137]
2023-09-24_04:54:00.000789023, [185, 78]
2023-09-24_04:54:00.000887651, [819, 68]
2023-09-24_04:54:00.000986279, [1199, 74]
2023-09-24_04:54:00.001084907, [1592, -25]
2023-09-24_04:54:00.001183535, [1245, -88]
2023-09-24_04:54:00.001282163, [162, 82]
2023-09-24_04:54:00.001380791, [-1248, -5]
2023-09-24_04:54:00.001479419, [-2212, -91]
2023-09-24_04:54:00.001578047, [-2235, 78]
2023-09-24_04:54:00.001676675, [-1474, 96]
2023-09-24_04:54:00.001775303, [-381, -9]
2023-09-24_04:54:00.001873931, [-97, -89]
2023-09-24_04:54:00.001972559, [-570, -71]
2023-09-24_04:54:00.002071187, [-404, 180]
2023-09-24_04:54:00.002169815, [505, 217]
2023-09-24_04:54:00.002268443, [981, 178]
2023-09-24_04:54:00.002367071, [285, 297]
2023-09-24_04:54:00.002465699, [-708, 464]
2023-09-24_04:54:00.002564326, [-1218, 518]
2023-09-24_04:54:00.002662954, [-852, 431]
2023-09-24_04:54:00.002761582, [-21, 249]
2023-09-24_04:54:00.002860210, [187, 160]
2023-09-24_04:54:00.002958838, [-691, 113]
2023-09-24_04:54:00.003057466, [-1570, 212]
2023-09-24_04:54:00.003156094, [-1107, 174]
2023-09-24_04:54:00.003254722, [45, -5]
2023-09-24_04:54:00.003353350, [451, 66]
2023-09-24_04:54:00.003451978, [126, 67]
2023-09-24_04:54:00.003550606, [-184, 37]
2023-09-24_04:54:00.003649234, [-56, 16]
2023-09-24_04:54:00.003747862, [477, -51]
2023-09-24_04:54:00.003846490, [634, 77]
2023-09-24_04:54:00.003945118, [-113, 156]
2023-09-24_04:54:00.004043746, [-1241, 234]
2023-09-24_04:54:00.004142374, [-1972, 278]
2023-09-24_04:54:00.004241002, [-1927, 134]
2023-09-24_04:54:00.004339630, [-862, 153]
2023-09-24_04:54:00.004438258, [178, 250]
2023-09-24_04:54:00.004536886, [36, 219]
2023-09-24_04:54:00.004635514, [-102, 234]
2023-09-24_04:54:00.004734142, [313, 284]
2023-09-24_04:54:00.004832770, [545, 276]
2023-09-24_04:54:00.004931398, [-50, 270]
2023-09-24_04:54:00.005030025, [-1394, 279]
2023-09-24_04:54:00.005128653, [-1818, 318]
2023-09-24_04:54:00.005227281, [-1198, 221]
2023-09-24_04:54:00.005325909, [-124, -68]
2023-09-24_04:54:00.005424537, [246, -285]
2023-09-24_04:54:00.005523165, [-487, -310]
2023-09-24_04:54:00.005621793, [-600, -170]
2023-09-24_04:54:00.005720421, [-731, 45]
2023-09-24_04:54:00.005819049, [-835, 33]
2023-09-24_04:54:00.005917677, [-676, -16]
2023-09-24_04:54:00.006016305, [-498, 157]
2023-09-24_04:54:00.006114933, [-169, 309]
2023-09-24_04:54:00.006213561, [-49, 252]
2023-09-24_04:54:00.006312189, [-322, 219]
2023-09-24_04:54:00.006410817, [-621, 194]
2023-09-24_04:54:00.006509445, [-550, -10]
2023-09-24_04:54:00.006608073, [-562, 41]
2023-09-24_04:54:00.006706701, [-702, 99]
2023-09-24_04:54:00.006805329, [-471, 24]
2023-09-24_04:54:00.006903957, [-19, -181]
2023-09-24_04:54:00.007002585, [-110, -372]
2023-09-24_04:54:00.007101213, [-723, -361]
2023-09-24_04:54:00.007199841, [-758, -344]
2023-09-24_04:54:00.007298469, [-467, -392]
2023-09-24_04:54:00.007397097, [-394, -469]
2023-09-24_04:54:00.007495724, [-14, -420]
2023-09-24_04:54:00.007594352, [592, -183]
2023-09-24_04:54:00.007692980, [422, -71]
2023-09-24_04:54:00.007791608, [-286, -66]
2023-09-24_04:54:00.007890236, [-751, -102]
2023-09-24_04:54:00.007988864, [-801, -257]
2023-09-24_04:54:00.008087492, [-535, -385]
2023-09-24_04:54:00.008186120, [-369, -304]
2023-09-24_04:54:00.008284748, [-178, -249]
2023-09-24_04:54:00.008383376, [157, -394]
2023-09-24_04:54:00.008482004, [410, -431]
2023-09-24_04:54:00.008580632, [737, -428]
2023-09-24_04:54:00.008679260, [499, -278]
2023-09-24_04:54:00.008777888, [530, -360]
2023-09-24_04:54:00.008876516, [1024, -512]
2023-09-24_04:54:00.008975144, [648, -509]
2023-09-24_04:54:00.009073772, [-304, -483]
2023-09-24_04:54:00.009172400, [-624, -373]
2023-09-24_04:54:00.009271028, [-25, -268]
2023-09-24_04:54:00.009369656, [-7, -71]
2023-09-24_04:54:00.009468284, [-607, -160]
2023-09-24_04:54:00.009566912, [-984, -417]
2023-09-24_04:54:00.009665540, [-939, -489]
2023-09-24_04:54:00.009764168, [-266, -618]
2023-09-24_04:54:00.009862796, [606, -573]
2023-09-24_04:54:00.009961423, [1093, -185]
2023-09-24_04:54:00.010060051, [1168, -33]
2023-09-24_04:54:00.010158679, [866, -138]
2023-09-24_04:54:00.010257307, [264, -243]
2023-09-24_04:54:00.010355935, [-234, -263]
2023-09-24_04:54:00.010454563, [-568, -264]
2023-09-24_04:54:00.010553191, [-973, -305]
2023-09-24_04:54:00.010651819, [-1266, -122]
2023-09-24_04:54:00.010750447, [-766, 111]
2023-09-24_04:54:00.010849075, [-162, 196]
2023-09-24_04:54:00.010947703, [-279, 76]
2023-09-24_04:54:00.011046331, [-64, -232]
2023-09-24_04:54:00.011144959, [173, -315]
2023-09-24_04:54:00.011243587, [47, -139]
2023-09-24_04:54:00.011342215, [91, -76]
2023-09-24_04:54:00.011440843, [-365, -266]
2023-09-24_04:54:00.011539471, [-1313, -205]
2023-09-24_04:54:00.011638099, [-1819, -225]
2023-09-24_04:54:00.011736727, [-1211, -370]
2023-09-24_04:54:00.011835355, [-207, -250]
2023-09-24_04:54:00.011933983, [135, -366]
2023-09-24_04:54:00.012032611, [-87, -475]
2023-09-24_04:54:00.012131239, [-444, -249]
2023-09-24_04:54:00.012229867, [-76, -142]
2023-09-24_04:54:00.012328495, [699, -117]
2023-09-24_04:54:00.012427122, [177, 64]
2023-09-24_04:54:00.012525750, [-638, 19]
2023-09-24_04:54:00.012624378, [-577, -49]
2023-09-24_04:54:00.012723006, [-509, 37]
2023-09-24_04:54:00.012821634, [-796, 81]
2023-09-24_04:54:00.012920262, [-976, 165]
2023-09-24_04:54:00.013018890, [-514, 2]
2023-09-24_04:54:00.013117518, [36, -128]
2023-09-24_04:54:00.013216146, [345, -104]
2023-09-24_04:54:00.013314774, [548, -84]
2023-09-24_04:54:00.013413402, [565, -61]
2023-09-24_04:54:00.013512030, [224, -4]
2023-09-24_04:54:00.013610658, [302, 67]
2023-09-24_04:54:00.013709286, [-228, 256]
2023-09-24_04:54:00.013807914, [-1177, 340]
2023-09-24_04:54:00.013906542, [-934, 100]
2023-09-24_04:54:00.014005170, [-279, -135]
2023-09-24_04:54:00.014103798, [50, -165]
2023-09-24_04:54:00.014202426, [-173, 73]
2023-09-24_04:54:00.014301054, [-155, 169]
2023-09-24_04:54:00.014399682, [-210, -85]
2023-09-24_04:54:00.014498310, [-656, -137]
2023-09-24_04:54:00.014596938, [-680, 95]
2023-09-24_04:54:00.014695566, [319, 198]
2023-09-24_04:54:00.014794194, [1100, 139]
2023-09-24_04:54:00.014892821, [667, 105]
2023-09-24_04:54:00.014991449, [-12, 177]
2023-09-24_04:54:00.015090077, [-871, 197]
2023-09-24_04:54:00.015188705, [-1951, 178]
2023-09-24_04:54:00.015287333, [-2422, 106]
2023-09-24_04:54:00.015385961, [-1195, 99]
2023-09-24_04:54:00.015484589, [417, 151]
2023-09-24_04:54:00.015583217, [832, 88]
2023-09-24_04:54:00.015681845, [671, -79]
2023-09-24_04:54:00.015780473, [639, -69]
2023-09-24_04:54:00.015879101, [870, -16]
2023-09-24_04:54:00.015977729, [823, 26]
2023-09-24_04:54:00.016076357, [338, -34]
2023-09-24_04:54:00.016174985, [-658, -60]
2023-09-24_04:54:00.016273613, [-1518, -103]
2023-09-24_04:54:00.016372241, [-1635, -153]
2023-09-24_04:54:00.016470869, [-1076, -151]
2023-09-24_04:54:00.016569497, [-245, -150]
2023-09-24_04:54:00.016668125, [62, -165]
2023-09-24_04:54:00.016766753, [195, -196]
2023-09-24_04:54:00.016865381, [509, -41]
2023-09-24_04:54:00.016964009, [651, 112]
2023-09-24_04:54:00.017062637, [662, -37]
2023-09-24_04:54:00.017161265, [366, -235]
2023-09-24_04:54:00.017259893, [80, -254]
2023-09-24_04:54:00.017358520, [-200, -113]
2023-09-24_04:54:00.017457148, [-693, -36]
2023-09-24_04:54:00.017555776, [-937, -116]
2023-09-24_04:54:00.017654404, [-255, -116]
2023-09-24_04:54:00.017753032, [552, -134]
2023-09-24_04:54:00.017851660, [429, -212]
2023-09-24_04:54:00.017950288, [-202, -337]
2023-09-24_04:54:00.018048916, [-375, -308]
2023-09-24_04:54:00.018147544, [122, -155]
2023-09-24_04:54:00.018246172, [815, -295]
2023-09-24_04:54:00.018344800, [1408, -605]
2023-09-24_04:54:00.018443428, [1538, -503]
2023-09-24_04:54:00.018542056, [857, -333]
2023-09-24_04:54:00.018640684, [177, -392]
2023-09-24_04:54:00.018739312, [-368, -449]
2023-09-24_04:54:00.018837940, [-959, -377]
2023-09-24_04:54:00.018936568, [-897, -236]
2023-09-24_04:54:00.019035196, [-165, -129]
2023-09-24_04:54:00.019133824, [664, -140]
2023-09-24_04:54:00.019232452, [1224, -345]
2023-09-24_04:54:00.019331080, [1254, -424]
2023-09-24_04:54:00.019429708, [932, -278]
2023-09-24_04:54:00.019528336, [667, -255]
2023-09-24_04:54:00.019626964, [199, -362]
2023-09-24_04:54:00.019725592, [90, -279]
2023-09-24_04:54:00.019824220, [482, -322]
2023-09-24_04:54:00.019922847, [20, -406]
