"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-303U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [423, 59769]
2023-09-24_04:54:00.000098627, [405, 59811]
2023-09-24_04:54:00.000197255, [-271, 59764]
2023-09-24_04:54:00.000295883, [-837, 59755]
2023-09-24_04:54:00.000394511, [-932, 59857]
2023-09-24_04:54:00.000493139, [-809, 60007]
2023-09-24_04:54:00.000591767, [-459, 59885]
2023-09-24_04:54:00.000690395, [-180, 59750]
2023-09-24_04:54:00.000789023, [230, 59800]
2023-09-24_04:54:00.000887651, [682, 59841]
2023-09-24_04:54:00.000986279, [934, 59899]
2023-09-24_04:54:00.001084907, [1225, 59897]
2023-09-24_04:54:00.001183535, [1192, 59844]
2023-09-24_04:54:00.001282163, [544, 59802]
2023-09-24_04:54:00.001380791, [-689, 59789]
2023-09-24_04:54:00.001479419, [-1525, 59846]
2023-09-24_04:54:00.001578047, [-1454, 59783]
2023-09-24_04:54:00.001676675, [-955, 59877]
2023-09-24_04:54:00.001775303, [-257, 60001]
2023-09-24_04:54:00.001873931, [25, 59929]
2023-09-24_04:54:00.001972559, [-170, 59783]
2023-09-24_04:54:00.002071187, [-86, 59692]
2023-09-24_04:54:00.002169815, [363, 59644]
2023-09-24_04:54:00.002268443, [624, 59744]
2023-09-24_04:54:00.002367071, [109, 59903]
2023-09-24_04:54:00.002465699, [-713, 59954]
2023-09-24_04:54:00.002564326, [-926, 59897]
2023-09-24_04:54:00.002662954, [-404, 59843]
2023-09-24_04:54:00.002761582, [172, 59948]
2023-09-24_04:54:00.002860210, [257, 59892]
2023-09-24_04:54:00.002958838, [-461, 59732]
2023-09-24_04:54:00.003057466, [-1287, 59771]
2023-09-24_04:54:00.003156094, [-1140, 59682]
2023-09-24_04:54:00.003254722, [-383, 59460]
2023-09-24_04:54:00.003353350, [135, 59566]
2023-09-24_04:54:00.003451978, [119, 59694]
2023-09-24_04:54:00.003550606, [-234, 59663]
2023-09-24_04:54:00.003649234, [-204, 59817]
2023-09-24_04:54:00.003747862, [224, 59842]
2023-09-24_04:54:00.003846490, [328, 59702]
2023-09-24_04:54:00.003945118, [-164, 59683]
2023-09-24_04:54:00.004043746, [-1085, 59541]
2023-09-24_04:54:00.004142374, [-1629, 59579]
2023-09-24_04:54:00.004241002, [-1365, 59726]
2023-09-24_04:54:00.004339630, [-480, 59678]
2023-09-24_04:54:00.004438258, [165, 59667]
2023-09-24_04:54:00.004536886, [70, 59498]
2023-09-24_04:54:00.004635514, [-133, 59452]
2023-09-24_04:54:00.004734142, [61, 59570]
2023-09-24_04:54:00.004832770, [194, 59535]
2023-09-24_04:54:00.004931398, [-138, 59542]
2023-09-24_04:54:00.005030025, [-939, 59704]
2023-09-24_04:54:00.005128653, [-1157, 59736]
2023-09-24_04:54:00.005227281, [-711, 59747]
2023-09-24_04:54:00.005325909, [49, 59784]
2023-09-24_04:54:00.005424537, [354, 59586]
2023-09-24_04:54:00.005523165, [-165, 59462]
2023-09-24_04:54:00.005621793, [-239, 59495]
2023-09-24_04:54:00.005720421, [-396, 59499]
2023-09-24_04:54:00.005819049, [-558, 59502]
2023-09-24_04:54:00.005917677, [-276, 59495]
2023-09-24_04:54:00.006016305, [-57, 59434]
2023-09-24_04:54:00.006114933, [96, 59441]
2023-09-24_04:54:00.006213561, [10, 59452]
2023-09-24_04:54:00.006312189, [-352, 59473]
2023-09-24_04:54:00.006410817, [-485, 59501]
2023-09-24_04:54:00.006509445, [-230, 59382]
2023-09-24_04:54:00.006608073, [-120, 59337]
2023-09-24_04:54:00.006706701, [-523, 59441]
2023-09-24_04:54:00.006805329, [-534, 59414]
2023-09-24_04:54:00.006903957, [14, 59478]
2023-09-24_04:54:00.007002585, [168, 59441]
2023-09-24_04:54:00.007101213, [-330, 59332]
2023-09-24_04:54:00.007199841, [-341, 59364]
2023-09-24_04:54:00.007298469, [30, 59326]
2023-09-24_04:54:00.007397097, [-3, 59409]
2023-09-24_04:54:00.007495724, [22, 59425]
2023-09-24_04:54:00.007594352, [472, 59468]
2023-09-24_04:54:00.007692980, [421, 59529]
2023-09-24_04:54:00.007791608, [-286, 59570]
2023-09-24_04:54:00.007890236, [-606, 59500]
2023-09-24_04:54:00.007988864, [-627, 59354]
2023-09-24_04:54:00.008087492, [-612, 59480]
2023-09-24_04:54:00.008186120, [-428, 59657]
2023-09-24_04:54:00.008284748, [-45, 59743]
2023-09-24_04:54:00.008383376, [251, 59717]
2023-09-24_04:54:00.008482004, [445, 59579]
2023-09-24_04:54:00.008580632, [513, 59440]
2023-09-24_04:54:00.008679260, [277, 59557]
2023-09-24_04:54:00.008777888, [268, 59653]
2023-09-24_04:54:00.008876516, [487, 59621]
2023-09-24_04:54:00.008975144, [226, 59552]
2023-09-24_04:54:00.009073772, [-542, 59414]
2023-09-24_04:54:00.009172400, [-921, 59483]
2023-09-24_04:54:00.009271028, [-446, 59417]
2023-09-24_04:54:00.009369656, [-279, 59472]
2023-09-24_04:54:00.009468284, [-805, 59646]
2023-09-24_04:54:00.009566912, [-1243, 59564]
2023-09-24_04:54:00.009665540, [-1063, 59494]
2023-09-24_04:54:00.009764168, [-427, 59471]
2023-09-24_04:54:00.009862796, [97, 59519]
2023-09-24_04:54:00.009961423, [613, 59617]
2023-09-24_04:54:00.010060051, [998, 59737]
2023-09-24_04:54:00.010158679, [622, 59763]
2023-09-24_04:54:00.010257307, [-58, 59722]
2023-09-24_04:54:00.010355935, [-448, 59637]
2023-09-24_04:54:00.010454563, [-589, 59557]
2023-09-24_04:54:00.010553191, [-885, 59541]
2023-09-24_04:54:00.010651819, [-1159, 59509]
2023-09-24_04:54:00.010750447, [-700, 59488]
2023-09-24_04:54:00.010849075, [-116, 59448]
2023-09-24_04:54:00.010947703, [10, 59470]
2023-09-24_04:54:00.011046331, [282, 59596]
2023-09-24_04:54:00.011144959, [505, 59750]
2023-09-24_04:54:00.011243587, [499, 59890]
2023-09-24_04:54:00.011342215, [398, 59798]
2023-09-24_04:54:00.011440843, [-102, 59631]
2023-09-24_04:54:00.011539471, [-780, 59652]
2023-09-24_04:54:00.011638099, [-1200, 59615]
2023-09-24_04:54:00.011736727, [-800, 59594]
2023-09-24_04:54:00.011835355, [28, 59595]
2023-09-24_04:54:00.011933983, [375, 59645]
2023-09-24_04:54:00.012032611, [252, 59668]
2023-09-24_04:54:00.012131239, [-52, 59619]
2023-09-24_04:54:00.012229867, [220, 59687]
2023-09-24_04:54:00.012328495, [776, 59685]
2023-09-24_04:54:00.012427122, [551, 59565]
2023-09-24_04:54:00.012525750, [178, 59558]
2023-09-24_04:54:00.012624378, [141, 59675]
2023-09-24_04:54:00.012723006, [82, 59659]
2023-09-24_04:54:00.012821634, [-158, 59600]
2023-09-24_04:54:00.012920262, [-97, 59650]
2023-09-24_04:54:00.013018890, [372, 59710]
2023-09-24_04:54:00.013117518, [707, 59728]
2023-09-24_04:54:00.013216146, [780, 59634]
2023-09-24_04:54:00.013314774, [986, 59585]
2023-09-24_04:54:00.013413402, [1130, 59606]
2023-09-24_04:54:00.013512030, [670, 59536]
2023-09-24_04:54:00.013610658, [571, 59496]
2023-09-24_04:54:00.013709286, [403, 59594]
2023-09-24_04:54:00.013807914, [-243, 59750]
2023-09-24_04:54:00.013906542, [-78, 59792]
2023-09-24_04:54:00.014005170, [547, 59805]
2023-09-24_04:54:00.014103798, [696, 59838]
2023-09-24_04:54:00.014202426, [531, 59816]
2023-09-24_04:54:00.014301054, [484, 59909]
