"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-317U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [270, -291]
2023-09-24_04:54:00.000098627, [263, -253]
2023-09-24_04:54:00.000197255, [-195, -162]
2023-09-24_04:54:00.000295883, [-736, -125]
2023-09-24_04:54:00.000394511, [-905, -52]
2023-09-24_04:54:00.000493139, [-808, 85]
2023-09-24_04:54:00.000591767, [-653, 77]
2023-09-24_04:54:00.000690395, [-498, -40]
2023-09-24_04:54:00.000789023, [-15, -6]
2023-09-24_04:54:00.000887651, [425, -8]
2023-09-24_04:54:00.000986279, [713, -149]
2023-09-24_04:54:00.001084907, [979, -163]
2023-09-24_04:54:00.001183535, [801, -119]
2023-09-24_04:54:00.001282163, [131, -114]
2023-09-24_04:54:00.001380791, [-689, -230]
2023-09-24_04:54:00.001479419, [-1229, -335]
2023-09-24_04:54:00.001578047, [-1229, -180]
2023-09-24_04:54:00.001676675, [-751, -46]
2023-09-24_04:54:00.001775303, [-14, -21]
2023-09-24_04:54:00.001873931, [237, 7]
2023-09-24_04:54:00.001972559, [-97, -22]
2023-09-24_04:54:00.002071187, [20, -104]
2023-09-24_04:54:00.002169815, [505, -148]
2023-09-24_04:54:00.002268443, [758, -169]
2023-09-24_04:54:00.002367071, [354, -166]
2023-09-24_04:54:00.002465699, [-264, -320]
2023-09-24_04:54:00.002564326, [-420, -426]
2023-09-24_04:54:00.002662954, [43, -334]
2023-09-24_04:54:00.002761582, [580, -180]
2023-09-24_04:54:00.002860210, [655, -70]
2023-09-24_04:54:00.002958838, [80, -85]
2023-09-24_04:54:00.003057466, [-536, -110]
2023-09-24_04:54:00.003156094, [-386, -54]
2023-09-24_04:54:00.003254722, [276, -44]
2023-09-24_04:54:00.003353350, [699, -3]
2023-09-24_04:54:00.003451978, [491, -13]
2023-09-24_04:54:00.003550606, [227, -115]
2023-09-24_04:54:00.003649234, [427, -128]
2023-09-24_04:54:00.003747862, [823, -36]
2023-09-24_04:54:00.003846490, [795, -74]
2023-09-24_04:54:00.003945118, [277, -195]
2023-09-24_04:54:00.004043746, [-383, -160]
2023-09-24_04:54:00.004142374, [-862, -60]
2023-09-24_04:54:00.004241002, [-743, -37]
2023-09-24_04:54:00.004339630, [56, -113]
2023-09-24_04:54:00.004438258, [709, -94]
2023-09-24_04:54:00.004536886, [499, -73]
2023-09-24_04:54:00.004635514, [173, -136]
2023-09-24_04:54:00.004734142, [410, -177]
2023-09-24_04:54:00.004832770, [590, -116]
2023-09-24_04:54:00.004931398, [191, -132]
2023-09-24_04:54:00.005030025, [-542, -212]
2023-09-24_04:54:00.005128653, [-711, -205]
2023-09-24_04:54:00.005227281, [-264, -107]
2023-09-24_04:54:00.005325909, [425, 39]
2023-09-24_04:54:00.005424537, [787, 139]
2023-09-24_04:54:00.005523165, [326, 182]
2023-09-24_04:54:00.005621793, [44, 139]
2023-09-24_04:54:00.005720421, [-104, 126]
2023-09-24_04:54:00.005819049, [-115, 158]
2023-09-24_04:54:00.005917677, [94, 76]
2023-09-24_04:54:00.006016305, [352, -46]
2023-09-24_04:54:00.006114933, [728, -90]
2023-09-24_04:54:00.006213561, [756, 17]
2023-09-24_04:54:00.006312189, [410, 79]
2023-09-24_04:54:00.006410817, [295, -51]
2023-09-24_04:54:00.006509445, [370, -95]
2023-09-24_04:54:00.006608073, [232, -49]
2023-09-24_04:54:00.006706701, [-49, -83]
2023-09-24_04:54:00.006805329, [-52, -89]
2023-09-24_04:54:00.006903957, [295, 70]
2023-09-24_04:54:00.007002585, [242, 231]
2023-09-24_04:54:00.007101213, [-390, 205]
2023-09-24_04:54:00.007199841, [-419, 139]
2023-09-24_04:54:00.007298469, [120, 155]
2023-09-24_04:54:00.007397097, [238, 242]
2023-09-24_04:54:00.007495724, [306, 309]
2023-09-24_04:54:00.007594352, [709, 259]
2023-09-24_04:54:00.007692980, [598, 142]
2023-09-24_04:54:00.007791608, [-5, 23]
2023-09-24_04:54:00.007890236, [-404, -28]
2023-09-24_04:54:00.007988864, [-471, -21]
2023-09-24_04:54:00.008087492, [-479, -63]
2023-09-24_04:54:00.008186120, [-406, -143]
2023-09-24_04:54:00.008284748, [-92, -47]
2023-09-24_04:54:00.008383376, [133, 11]
2023-09-24_04:54:00.008482004, [355, 4]
