"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-301U5/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [731, 257]
2023-09-24_04:54:00.000098627, [734, 230]
2023-09-24_04:54:00.000197255, [108, 70]
2023-09-24_04:54:00.000295883, [-591, 29]
2023-09-24_04:54:00.000394511, [-742, -73]
2023-09-24_04:54:00.000493139, [-625, -134]
2023-09-24_04:54:00.000591767, [-480, -125]
2023-09-24_04:54:00.000690395, [-143, 50]
2023-09-24_04:54:00.000789023, [479, 203]
2023-09-24_04:54:00.000887651, [865, 118]
2023-09-24_04:54:00.000986279, [1022, 31]
2023-09-24_04:54:00.001084907, [1225, 119]
2023-09-24_04:54:00.001183535, [978, 137]
2023-09-24_04:54:00.001282163, [297, 76]
2023-09-24_04:54:00.001380791, [-686, -34]
2023-09-24_04:54:00.001479419, [-1352, -74]
2023-09-24_04:54:00.001578047, [-1431, 26]
2023-09-24_04:54:00.001676675, [-885, 95]
2023-09-24_04:54:00.001775303, [91, 61]
2023-09-24_04:54:00.001873931, [421, 212]
2023-09-24_04:54:00.001972559, [86, 273]
2023-09-24_04:54:00.002071187, [267, 75]
2023-09-24_04:54:00.002169815, [702, -62]
2023-09-24_04:54:00.002268443, [805, -67]
2023-09-24_04:54:00.002367071, [374, -9]
2023-09-24_04:54:00.002465699, [-328, -16]
2023-09-24_04:54:00.002564326, [-668, -15]
2023-09-24_04:54:00.002662954, [-315, -18]
2023-09-24_04:54:00.002761582, [397, 46]
2023-09-24_04:54:00.002860210, [487, 141]
2023-09-24_04:54:00.002958838, [-345, 128]
2023-09-24_04:54:00.003057466, [-1059, 52]
2023-09-24_04:54:00.003156094, [-779, -174]
2023-09-24_04:54:00.003254722, [34, -183]
2023-09-24_04:54:00.003353350, [239, 40]
2023-09-24_04:54:00.003451978, [29, 113]
2023-09-24_04:54:00.003550606, [-100, 37]
2023-09-24_04:54:00.003649234, [37, -88]
2023-09-24_04:54:00.003747862, [551, -179]
2023-09-24_04:54:00.003846490, [620, -187]
2023-09-24_04:54:00.003945118, [10, -193]
2023-09-24_04:54:00.004043746, [-1024, -129]
2023-09-24_04:54:00.004142374, [-1633, 64]
2023-09-24_04:54:00.004241002, [-1267, 91]
2023-09-24_04:54:00.004339630, [-381, 96]
2023-09-24_04:54:00.004438258, [235, 7]
2023-09-24_04:54:00.004536886, [118, 27]
2023-09-24_04:54:00.004635514, [39, -38]
2023-09-24_04:54:00.004734142, [361, -81]
2023-09-24_04:54:00.004832770, [540, 39]
2023-09-24_04:54:00.004931398, [93, 121]
2023-09-24_04:54:00.005030025, [-874, 125]
2023-09-24_04:54:00.005128653, [-1107, -1]
2023-09-24_04:54:00.005227281, [-617, -33]
2023-09-24_04:54:00.005325909, [168, -123]
2023-09-24_04:54:00.005424537, [500, -285]
2023-09-24_04:54:00.005523165, [8, -312]
2023-09-24_04:54:00.005621793, [-23, -187]
2023-09-24_04:54:00.005720421, [-100, -209]
2023-09-24_04:54:00.005819049, [-325, -323]
2023-09-24_04:54:00.005917677, [-186, -397]
2023-09-24_04:54:00.006016305, [-94, -438]
2023-09-24_04:54:00.006114933, [181, -314]
2023-09-24_04:54:00.006213561, [347, -104]
2023-09-24_04:54:00.006312189, [-28, -21]
2023-09-24_04:54:00.006410817, [-221, -192]
2023-09-24_04:54:00.006509445, [-111, -227]
2023-09-24_04:54:00.006608073, [-244, -115]
2023-09-24_04:54:00.006706701, [-499, -111]
2023-09-24_04:54:00.006805329, [-176, -77]
2023-09-24_04:54:00.006903957, [336, 37]
2023-09-24_04:54:00.007002585, [255, 14]
2023-09-24_04:54:00.007101213, [-329, -75]
2023-09-24_04:54:00.007199841, [-414, -162]
2023-09-24_04:54:00.007298469, [43, -138]
2023-09-24_04:54:00.007397097, [56, -11]
2023-09-24_04:54:00.007495724, [55, 97]
2023-09-24_04:54:00.007594352, [550, 110]
2023-09-24_04:54:00.007692980, [382, 30]
2023-09-24_04:54:00.007791608, [-310, -103]
2023-09-24_04:54:00.007890236, [-679, -14]
2023-09-24_04:54:00.007988864, [-936, 176]
2023-09-24_04:54:00.008087492, [-792, 196]
2023-09-24_04:54:00.008186120, [-391, 179]
2023-09-24_04:54:00.008284748, [-9, 78]
2023-09-24_04:54:00.008383376, [90, -26]
2023-09-24_04:54:00.008482004, [75, -30]
2023-09-24_04:54:00.008580632, [167, 65]
2023-09-24_04:54:00.008679260, [25, 113]
2023-09-24_04:54:00.008777888, [132, 186]
2023-09-24_04:54:00.008876516, [300, 65]
2023-09-24_04:54:00.008975144, [82, -61]
2023-09-24_04:54:00.009073772, [-636, 101]
2023-09-24_04:54:00.009172400, [-1116, 125]
2023-09-24_04:54:00.009271028, [-618, 129]
2023-09-24_04:54:00.009369656, [-310, 172]
2023-09-24_04:54:00.009468284, [-767, 137]
2023-09-24_04:54:00.009566912, [-1130, 193]
2023-09-24_04:54:00.009665540, [-851, 82]
2023-09-24_04:54:00.009764168, [-311, 26]
2023-09-24_04:54:00.009862796, [-18, 51]
2023-09-24_04:54:00.009961423, [300, -28]
2023-09-24_04:54:00.010060051, [528, -76]
2023-09-24_04:54:00.010158679, [207, -100]
2023-09-24_04:54:00.010257307, [-401, 50]
2023-09-24_04:54:00.010355935, [-830, 99]
2023-09-24_04:54:00.010454563, [-972, 20]
2023-09-24_04:54:00.010553191, [-1289, 48]
2023-09-24_04:54:00.010651819, [-1545, 70]
2023-09-24_04:54:00.010750447, [-1129, 48]
2023-09-24_04:54:00.010849075, [-517, 41]
2023-09-24_04:54:00.010947703, [-310, 13]
2023-09-24_04:54:00.011046331, [-230, 6]
2023-09-24_04:54:00.011144959, [-225, -52]
2023-09-24_04:54:00.011243587, [-37, -77]
2023-09-24_04:54:00.011342215, [103, -109]
2023-09-24_04:54:00.011440843, [-457, -159]
2023-09-24_04:54:00.011539471, [-1341, -134]
2023-09-24_04:54:00.011638099, [-1935, -31]
2023-09-24_04:54:00.011736727, [-1614, 117]
2023-09-24_04:54:00.011835355, [-595, 126]
2023-09-24_04:54:00.011933983, [-170, -33]
2023-09-24_04:54:00.012032611, [-454, -69]
2023-09-24_04:54:00.012131239, [-558, -21]
2023-09-24_04:54:00.012229867, [-238, -57]
2023-09-24_04:54:00.012328495, [289, -204]
2023-09-24_04:54:00.012427122, [-48, -253]
2023-09-24_04:54:00.012525750, [-531, -199]
2023-09-24_04:54:00.012624378, [-484, -210]
2023-09-24_04:54:00.012723006, [-726, -163]
2023-09-24_04:54:00.012821634, [-1044, -89]
2023-09-24_04:54:00.012920262, [-943, 47]
2023-09-24_04:54:00.013018890, [-648, 136]
2023-09-24_04:54:00.013117518, [-309, 101]
2023-09-24_04:54:00.013216146, [-40, 80]
2023-09-24_04:54:00.013314774, [226, -94]
2023-09-24_04:54:00.013413402, [286, -199]
2023-09-24_04:54:00.013512030, [-200, -67]
2023-09-24_04:54:00.013610658, [-139, 50]
2023-09-24_04:54:00.013709286, [-240, 38]
2023-09-24_04:54:00.013807914, [-761, -57]
2023-09-24_04:54:00.013906542, [-637, 23]
2023-09-24_04:54:00.014005170, [-141, 43]
2023-09-24_04:54:00.014103798, [15, -12]
2023-09-24_04:54:00.014202426, [-266, -153]
2023-09-24_04:54:00.014301054, [-479, -160]
2023-09-24_04:54:00.014399682, [-566, -35]
2023-09-24_04:54:00.014498310, [-687, 6]
2023-09-24_04:54:00.014596938, [-520, 10]
2023-09-24_04:54:00.014695566, [198, -55]
2023-09-24_04:54:00.014794194, [644, -63]
2023-09-24_04:54:00.014892821, [368, -5]
